gate_V,drain_TotalCurrent_A
0.0,5.3463474e-14
0.005,5.5205523e-14
0.01,5.7074404e-14
0.015,5.9093068e-14
0.02,6.1067683e-14
0.025,6.349393e-14
0.03,6.5532997e-14
0.035,6.8257697e-14
0.04,7.096791e-14
0.045,7.3779458e-14
0.05,7.692971e-14
0.055,8.0101248e-14
0.06,8.3770095e-14
0.065,8.7403396e-14
0.07,9.1539954e-14
0.075,9.5683734e-14
0.08,1.0037917e-13
0.085,1.0540015e-13
0.09,1.1070244e-13
0.095,1.1624996e-13
0.1,1.2232186e-13
0.105,1.2901984e-13
0.11,1.3605211e-13
0.115,1.4347624e-13
0.12,1.5185784e-13
0.125,1.6038992e-13
0.13,1.6979584e-13
0.135,1.7973947e-13
0.14,1.9085318e-13
0.145,2.0230309e-13
0.15,2.1496318e-13
0.155,2.2840028e-13
0.16,2.4301829e-13
0.165,2.5879945e-13
0.17,2.7551621e-13
0.175,2.9361691e-13
0.18,3.1329858e-13
0.185,3.3458539e-13
0.19,3.5733951e-13
0.195,3.8174634e-13
0.2,4.0836457e-13
0.205,4.3690168e-13
0.21,4.6771833e-13
0.215,5.0113473e-13
0.22,5.3717095e-13
0.225,5.7589514e-13
0.23,6.1782739e-13
0.235,6.6325536e-13
0.24,7.1229241e-13
0.245,7.6515299e-13
0.25,8.223063e-13
0.255,8.8402284e-13
0.26,9.5105324e-13
0.265,1.0233707e-12
0.27,1.1015366e-12
0.275,1.186114e-12
0.28,1.2776129e-12
0.285,1.3766579e-12
0.29,1.4839088e-12
0.295,1.5997844e-12
0.3,1.7252667e-12
0.305,1.8610246e-12
0.31,2.0083012e-12
0.315,2.1676974e-12
0.32,2.3399719e-12
0.325,2.5269747e-12
0.33,2.7294085e-12
0.335,2.9488489e-12
0.34,3.1863696e-12
0.345,3.4437798e-12
0.35,3.7229836e-12
0.355,4.0254242e-12
0.36,4.3532556e-12
0.365,4.7086907e-12
0.37,5.0941448e-12
0.375,5.5120888e-12
0.38,5.9649982e-12
0.385,6.4565837e-12
0.39,6.9895258e-12
0.395,7.5673678e-12
0.4,8.1946281e-12
0.405,8.8746844e-12
0.41,9.6127975e-12
0.415,1.0413795e-11
0.42,1.1282684e-11
0.425,1.2225553e-11
0.43,1.3248961e-11
0.435,1.43599e-11
0.44,1.5565551e-11
0.445,1.6874204e-11
0.45,1.8294908e-11
0.455,1.9837184e-11
0.46,2.1511779e-11
0.465,2.3329825e-11
0.47,2.530398e-11
0.475,2.7447471e-11
0.48,2.9775161e-11
0.485,3.2303026e-11
0.49,3.5048333e-11
0.495,3.8029729e-11
0.5,4.1268032e-11
0.505,4.4784995e-11
0.51,4.860536e-11
0.515,5.2754972e-11
0.52,5.7262533e-11
0.525,6.215879e-11
0.53,6.7477548e-11
0.535,7.3255181e-11
0.54,7.9531601e-11
0.545,8.6349993e-11
0.55,9.3756869e-11
0.555,1.0180329e-10
0.56,1.105443e-10
0.565,1.2004006e-10
0.57,1.3035509e-10
0.575,1.415607e-10
0.58,1.5373285e-10
0.585,1.6695475e-10
0.59,1.8131653e-10
0.595,1.9691589e-10
0.6,2.1385877e-10
0.605,2.322601e-10
0.61,2.5224443e-10
0.615,2.7394602e-10
0.62,2.9751164e-10
0.625,3.2309901e-10
0.63,3.508799e-10
0.635,3.8103895e-10
0.64,4.1377735e-10
0.645,4.4931166e-10
0.65,4.8787627e-10
0.655,5.2972496e-10
0.66,5.751314e-10
0.665,6.2439181e-10
0.67,6.7782519e-10
0.675,7.3577622e-10
0.68,7.9861662e-10
0.685,8.6674734e-10
0.69,9.4060048e-10
0.695,1.0206411e-09
0.7,1.1073705e-09
0.705,1.201328e-09
0.71,1.3030935e-09
0.715,1.4132898e-09
0.72,1.5325882e-09
0.725,1.661707e-09
0.73,1.8014187e-09
0.735,1.9525517e-09
0.74,2.1159936e-09
0.745,2.2926955e-09
0.75,2.4836764e-09
0.755,2.6900258e-09
0.76,2.912909e-09
0.765,3.1535719e-09
0.77,3.413344e-09
0.775,3.6936457e-09
0.78,3.9959912e-09
0.785,4.3219941e-09
0.79,4.6733742e-09
0.795,5.0519608e-09
0.8,5.4597009e-09
0.805,5.8986624e-09
0.81,6.3710436e-09
0.815,6.8791761e-09
0.82,7.4255338e-09
0.825,8.0127377e-09
0.83,8.6435641e-09
0.835,9.3209502e-09
0.84,1.0048002e-08
0.845,1.0828e-08
0.85,1.1664409e-08
0.855,1.2560882e-08
0.86,1.3521269e-08
0.865,1.4549623e-08
0.87,1.565021e-08
0.875,1.6827512e-08
0.88,1.8086234e-08
0.885,1.9431315e-08
0.89,2.0867929e-08
0.895,2.2401492e-08
0.9,2.403767e-08
0.905,2.578238e-08
0.91,2.7641798e-08
0.915,2.962236e-08
0.92,3.1730763e-08
0.925,3.3973973e-08
0.93,3.6359219e-08
0.935,3.8893996e-08
0.94,4.1586064e-08
0.945,4.4443441e-08
0.95,4.7474405e-08
0.955,5.068748e-08
0.96,5.4091432e-08
0.965,5.769526e-08
0.97,6.1508182e-08
0.975,6.5539621e-08
0.98,6.9799189e-08
0.985,7.4296668e-08
0.99,7.904199e-08
0.995,8.4045216e-08
1.0,8.9316505e-08
1.005,9.486609e-08
1.01,1.0070425e-07
1.015,1.0684128e-07
1.02,1.1328746e-07
1.025,1.2005299e-07
1.03,1.2714803e-07
1.035,1.3458257e-07
1.04,1.4236647e-07
1.045,1.5050939e-07
1.05,1.5902076e-07
1.055,1.6790975e-07
1.06,1.7718523e-07
1.065,1.8685577e-07
1.07,1.9692957e-07
1.075,2.0741448e-07
1.08,2.1831794e-07
1.085,2.29647e-07
1.09,2.4140827e-07
1.095,2.5360796e-07
1.1,2.6625182e-07
1.105,2.7934518e-07
1.11,2.9289294e-07
1.115,3.0689956e-07
1.12,3.2136911e-07
1.125,3.3630521e-07
1.13,3.5171114e-07
1.135,3.6758977e-07
1.14,3.8394362e-07
1.145,4.0077488e-07
1.15,4.180854e-07
1.155,4.3587674e-07
1.16,4.5415018e-07
1.165,4.7290673e-07
1.17,4.9214718e-07
1.175,5.1187205e-07
1.18,5.320817e-07
1.185,5.5277627e-07
1.19,5.7395574e-07
1.195,5.9561991e-07
1.2,6.1776845e-07
1.205,6.404009e-07
1.21,6.6351665e-07
1.215,6.8711499e-07
1.22,7.1119511e-07
1.225,7.357561e-07
1.23,7.6079695e-07
1.235,7.8631659e-07
1.24,8.1231384e-07
1.245,8.3878749e-07
1.25,8.6573622e-07
1.255,8.9315868e-07
1.26,9.2105345e-07
1.265,9.4941905e-07
1.27,9.7825395e-07
1.275,1.0075566e-06
1.28,1.0373253e-06
1.285,1.0675585e-06
1.29,1.0982544e-06
1.295,1.1294112e-06
1.3,1.1610273e-06
1.305,1.1931007e-06
1.31,1.2256295e-06
1.315,1.258612e-06
1.32,1.2920461e-06
1.325,1.3259298e-06
1.33,1.3602613e-06
1.335,1.3950384e-06
1.34,1.4302591e-06
1.345,1.4659213e-06
1.35,1.502023e-06
1.355,1.5385619e-06
1.36,1.575536e-06
1.365,1.6129431e-06
1.37,1.6507809e-06
1.375,1.6890472e-06
1.38,1.7277399e-06
1.385,1.7668567e-06
1.39,1.8063952e-06
1.395,1.8463532e-06
1.4,1.8867284e-06
1.405,1.9275185e-06
1.41,1.9687211e-06
1.415,2.010334e-06
1.42,2.0523546e-06
1.425,2.0947808e-06
1.43,2.1376101e-06
1.435,2.1808401e-06
1.44,2.2244684e-06
1.445,2.2684927e-06
1.45,2.3129104e-06
1.455,2.3577193e-06
1.46,2.4029169e-06
1.465,2.4485008e-06
1.47,2.4944685e-06
1.475,2.5408177e-06
1.48,2.5875459e-06
1.485,2.6346506e-06
1.49,2.6821295e-06
1.495,2.7299801e-06
1.5,2.7782e-06
