gate_V,drain_TotalCurrent_A
0.0,1.1388799e-13
0.005,1.1739723e-13
0.01,1.215001e-13
0.015,1.2555279e-13
0.02,1.3049285e-13
0.025,1.3507589e-13
0.03,1.400237e-13
0.035,1.4542105e-13
0.04,1.5140337e-13
0.045,1.5759154e-13
0.05,1.6457585e-13
0.055,1.7167234e-13
0.06,1.7959209e-13
0.065,1.875015e-13
0.07,1.9640637e-13
0.075,2.0596496e-13
0.08,2.160683e-13
0.085,2.2716326e-13
0.09,2.3870567e-13
0.095,2.5148561e-13
0.1,2.6489025e-13
0.105,2.7944015e-13
0.11,2.9503848e-13
0.115,3.1196773e-13
0.12,3.2990988e-13
0.125,3.4948601e-13
0.13,3.7021821e-13
0.135,3.9302082e-13
0.14,4.1722845e-13
0.145,4.4360128e-13
0.15,4.7191297e-13
0.155,5.0213233e-13
0.16,5.3511297e-13
0.165,5.703445e-13
0.17,6.0834711e-13
0.175,6.4966299e-13
0.18,6.9411128e-13
0.185,7.4189722e-13
0.19,7.9359667e-13
0.195,8.4944678e-13
0.2,9.0995323e-13
0.205,9.7459913e-13
0.21,1.0446948e-12
0.215,1.1205238e-12
0.22,1.202757e-12
0.225,1.2912856e-12
0.23,1.3870785e-12
0.235,1.4906174e-12
0.24,1.6025681e-12
0.245,1.7233853e-12
0.25,1.8542812e-12
0.255,1.9957963e-12
0.26,2.1487393e-12
0.265,2.3143331e-12
0.27,2.4932308e-12
0.275,2.6871322e-12
0.28,2.8965663e-12
0.285,3.1235492e-12
0.29,3.3694672e-12
0.295,3.6348572e-12
0.3,3.9230894e-12
0.305,4.2344182e-12
0.31,4.5722817e-12
0.315,4.9378036e-12
0.32,5.3335002e-12
0.325,5.7624638e-12
0.33,6.2266245e-12
0.335,6.730202e-12
0.34,7.2756829e-12
0.345,7.8663648e-12
0.35,8.5064803e-12
0.355,9.200563e-12
0.36,9.9527208e-12
0.365,1.0768281e-11
0.37,1.1652306e-11
0.375,1.2610712e-11
0.38,1.364981e-11
0.385,1.4776435e-11
0.39,1.5997973e-11
0.395,1.7323183e-11
0.4,1.8760475e-11
0.405,2.0319192e-11
0.41,2.2010278e-11
0.415,2.3844329e-11
0.42,2.583452e-11
0.425,2.7993512e-11
0.43,3.0336076e-11
0.435,3.2878016e-11
0.44,3.5636559e-11
0.445,3.8629766e-11
0.45,4.187847e-11
0.455,4.5404945e-11
0.46,4.9231403e-11
0.465,5.3385434e-11
0.47,5.7894633e-11
0.475,6.2789578e-11
0.48,6.8103255e-11
0.485,7.3871814e-11
0.49,8.0134798e-11
0.495,8.6934314e-11
0.5,9.431679e-11
0.505,1.0233252e-10
0.51,1.1103589e-10
0.515,1.2048605e-10
0.52,1.3074695e-10
0.525,1.4188954e-10
0.53,1.5398808e-10
0.535,1.6712568e-10
0.54,1.8139129e-10
0.545,1.9688152e-10
0.55,2.1370234e-10
0.555,2.3196652e-10
0.56,2.5179826e-10
0.565,2.73332e-10
0.57,2.9671164e-10
0.575,3.2209668e-10
0.58,3.4965658e-10
0.585,3.7957721e-10
0.59,4.1205808e-10
0.595,4.4731749e-10
0.6,4.8558977e-10
0.605,5.2713024e-10
0.61,5.7221361e-10
0.615,6.2113803e-10
0.62,6.7422659e-10
0.625,7.3182713e-10
0.63,7.9431695e-10
0.635,8.6210205e-10
0.64,9.3562234e-10
0.645,1.015353e-09
0.65,1.101805e-09
0.655,1.1955317e-09
0.66,1.2971279e-09
0.665,1.4072359e-09
0.67,1.5265463e-09
0.675,1.6558047e-09
0.68,1.7958118e-09
0.685,1.9474289e-09
0.69,2.111583e-09
0.695,2.2892699e-09
0.7,2.4815583e-09
0.705,2.6895964e-09
0.71,2.9146148e-09
0.715,3.1579352e-09
0.72,3.4209707e-09
0.725,3.7052376e-09
0.73,4.0123576e-09
0.735,4.344066e-09
0.74,4.7022176e-09
0.745,5.0887948e-09
0.75,5.5059147e-09
0.755,5.9558365e-09
0.76,6.44097e-09
0.765,6.9638842e-09
0.77,7.5273162e-09
0.775,8.1341799e-09
0.78,8.7875762e-09
0.785,9.4908038e-09
0.79,1.0247367e-08
0.795,1.1060989e-08
0.8,1.1935623e-08
0.805,1.2875463e-08
0.81,1.3884955e-08
