gate_V,drain_TotalCurrent_A
1.23,3.0797813e-07
1.235,3.2109654e-07
1.24,3.3456552e-07
1.245,3.4838662e-07
1.25,3.6256132e-07
1.255,3.7709101e-07
1.26,3.9197701e-07
1.265,4.0722054e-07
1.27,4.2282279e-07
1.275,4.3878486e-07
1.28,4.5510779e-07
1.285,4.7179255e-07
1.29,4.8884008e-07
1.295,5.0625122e-07
1.3,5.2402678e-07
1.305,5.4216752e-07
1.31,5.6067413e-07
1.315,5.7954724e-07
1.32,5.9878745e-07
1.325,6.1839529e-07
1.33,6.3837124e-07
1.335,6.5871574e-07
1.34,6.7942917e-07
1.345,7.0051188e-07
1.35,7.2196413e-07
1.355,7.4378617e-07
1.36,7.659782e-07
1.365,7.8854034e-07
1.37,8.1147271e-07
1.375,8.3477535e-07
1.38,8.5844827e-07
1.385,8.8249144e-07
1.39,9.0690477e-07
1.395,9.3168814e-07
1.4,9.568414e-07
1.405,9.8236434e-07
1.41,1.0082567e-06
1.415,1.0345182e-06
1.42,1.0611486e-06
1.425,1.0881474e-06
1.43,1.1155143e-06
1.435,1.1432489e-06
1.44,1.1713506e-06
1.445,1.1998191e-06
1.45,1.2286537e-06
1.455,1.2578539e-06
1.46,1.2874191e-06
1.465,1.3173486e-06
1.47,1.3476419e-06
1.475,1.3782982e-06
1.48,1.4093169e-06
1.485,1.4406971e-06
1.49,1.4724381e-06
1.495,1.5045392e-06
1.5,1.5369995e-06
