gate_V,drain_TotalCurrent_A
0.0,5.3418185e-14
0.005,5.5121222e-14
0.01,5.7036275e-14
0.015,5.8901429e-14
0.02,6.1122139e-14
0.025,6.3359325e-14
0.03,6.5752789e-14
0.035,6.8062625e-14
0.04,7.0885949e-14
0.045,7.3747668e-14
0.05,7.68295e-14
0.055,8.0076889e-14
0.06,8.3647155e-14
0.065,8.7316115e-14
0.07,9.1276618e-14
0.075,9.5772524e-14
0.08,1.0017141e-13
0.085,1.0511886e-13
0.09,1.1046491e-13
0.095,1.1613594e-13
0.1,1.2242319e-13
0.105,1.2887394e-13
0.11,1.3585216e-13
0.115,1.433792e-13
0.12,1.5162183e-13
0.125,1.6025105e-13
0.13,1.6950646e-13
0.135,1.7975612e-13
0.14,1.9041621e-13
0.145,2.0217323e-13
0.15,2.1463098e-13
0.155,2.2808634e-13
0.16,2.4267815e-13
0.165,2.5822899e-13
0.17,2.7513918e-13
0.175,2.9324827e-13
0.18,3.1280817e-13
0.185,3.3417821e-13
0.19,3.5675562e-13
0.195,3.8122088e-13
0.2,4.0788249e-13
0.205,4.364087e-13
0.21,4.6715382e-13
0.215,5.0051502e-13
0.22,5.366044e-13
0.225,5.752318e-13
0.23,6.17254e-13
0.235,6.6249271e-13
0.24,7.1135577e-13
0.245,7.6447249e-13
0.25,8.2155706e-13
0.255,8.8324766e-13
0.26,9.5012181e-13
0.265,1.022144e-12
0.27,1.1004161e-12
0.275,1.1850373e-12
0.28,1.2764986e-12
0.285,1.375423e-12
0.29,1.4823898e-12
0.295,1.5984413e-12
0.3,1.7237378e-12
0.305,1.8595744e-12
0.31,2.0067328e-12
0.315,2.1659176e-12
0.32,2.3383806e-12
0.325,2.525031e-12
0.33,2.7274835e-12
0.335,2.9465618e-12
0.34,3.1842563e-12
0.345,3.4417165e-12
0.35,3.7207109e-12
0.355,4.0229463e-12
0.36,4.3508214e-12
0.365,4.7059287e-12
0.37,5.0912615e-12
0.375,5.5087796e-12
0.38,5.9619043e-12
0.385,6.4530497e-12
0.39,6.9859749e-12
0.395,7.5638454e-12
0.4,8.1907588e-12
0.405,8.8708623e-12
0.41,9.6087302e-12
0.415,1.0409272e-11
0.42,1.1278219e-11
0.425,1.2221119e-11
0.43,1.3244243e-11
0.435,1.4354883e-11
0.44,1.5560331e-11
0.445,1.686889e-11
0.45,1.8289624e-11
0.455,1.9831817e-11
0.46,2.1506158e-11
0.465,2.3324013e-11
0.47,2.5297967e-11
0.475,2.7441458e-11
0.48,2.9769077e-11
0.485,3.2296847e-11
0.49,3.5042235e-11
0.495,3.8023726e-11
0.5,4.1261824e-11
0.505,4.4779068e-11
0.51,4.859949e-11
0.515,5.2749285e-11
0.52,5.7256887e-11
0.525,6.2153401e-11
0.53,6.7472304e-11
0.535,7.3250412e-11
0.54,7.9527332e-11
0.545,8.6345852e-11
0.55,9.3753446e-11
0.555,1.0180036e-10
0.56,1.1054221e-10
0.565,1.2003844e-10
0.57,1.3035455e-10
0.575,1.4156094e-10
0.58,1.5373419e-10
0.585,1.6695706e-10
0.59,1.8132019e-10
0.595,1.9692116e-10
0.6,2.1386534e-10
0.605,2.322684e-10
0.61,2.5225447e-10
0.615,2.7395809e-10
0.62,2.9752587e-10
0.625,3.231155e-10
0.63,3.5089834e-10
0.635,3.810604e-10
0.64,4.1380122e-10
0.645,4.4933842e-10
0.65,4.8790621e-10
0.655,5.2975794e-10
0.66,5.7516809e-10
0.665,6.2443189e-10
0.67,6.7786902e-10
0.675,7.3582395e-10
0.68,7.9866858e-10
0.685,8.6680376e-10
0.69,9.4066139e-10
0.695,1.0207067e-09
0.7,1.1074412e-09
0.705,1.2014038e-09
0.71,1.3031743e-09
0.715,1.4133767e-09
0.72,1.5326808e-09
0.725,1.6618057e-09
0.73,1.8015239e-09
0.735,1.9526633e-09
0.74,2.1161118e-09
0.745,2.2928209e-09
0.75,2.4838089e-09
0.755,2.6901657e-09
0.76,2.9130569e-09
0.765,3.1537276e-09
0.77,3.4135081e-09
0.775,3.6938183e-09
0.78,3.9961727e-09
0.785,4.3221851e-09
0.79,4.6735748e-09
0.795,5.0521715e-09
0.8,5.4599219e-09
0.805,5.8988945e-09
0.81,6.3712865e-09
0.815,6.8794308e-09
0.82,7.4258008e-09
0.825,8.0130175e-09
0.83,8.6438569e-09
0.835,9.3212567e-09
0.84,1.0048323e-08
0.845,1.0828337e-08
0.85,1.1664761e-08
0.855,1.2561251e-08
0.86,1.3521655e-08
0.865,1.4550028e-08
0.87,1.5650634e-08
0.875,1.6827956e-08
0.88,1.80867e-08
0.885,1.9431803e-08
0.89,2.0868441e-08
0.895,2.240203e-08
0.9,2.4038234e-08
0.905,2.5782973e-08
0.91,2.7642422e-08
0.915,2.9623015e-08
0.92,3.1731453e-08
0.925,3.3974699e-08
0.93,3.6359984e-08
0.935,3.8894803e-08
0.94,4.1586915e-08
0.945,4.4444341e-08
0.95,4.7475356e-08
0.955,5.0688486e-08
0.96,5.4092497e-08
0.965,5.769639e-08
0.97,6.1509381e-08
0.975,6.5540893e-08
0.98,6.9800541e-08
0.985,7.4298107e-08
0.99,7.9043524e-08
0.995,8.404685e-08
1.0,8.9318248e-08
1.005,9.4867952e-08
1.01,1.0070624e-07
1.015,1.0684341e-07
1.02,1.1328974e-07
1.025,1.2005544e-07
1.03,1.2715065e-07
1.035,1.3458538e-07
1.04,1.4236948e-07
1.045,1.5051263e-07
1.05,1.5902423e-07
1.055,1.6791348e-07
1.06,1.7718925e-07
1.065,1.8686009e-07
1.07,1.9693422e-07
1.075,2.0741948e-07
1.08,2.1832332e-07
1.085,2.2965278e-07
1.09,2.4141449e-07
1.095,2.5361464e-07
1.1,2.6625901e-07
1.105,2.7935291e-07
1.11,2.9290124e-07
1.115,3.0690848e-07
1.12,3.2137868e-07
1.125,3.3631549e-07
1.13,3.5172217e-07
1.135,3.676016e-07
1.14,3.8395631e-07
1.145,4.0078847e-07
1.15,4.1809994e-07
1.155,4.358923e-07
1.16,4.5416683e-07
1.165,4.7292453e-07
1.17,4.9216618e-07
1.175,5.1189234e-07
1.18,5.3210335e-07
1.185,5.5279936e-07
1.19,5.7398034e-07
1.195,5.9564611e-07
1.2,6.1779634e-07
1.205,6.4043056e-07
1.21,6.6354817e-07
1.215,6.8714848e-07
1.22,7.1123066e-07
1.225,7.357938e-07
1.23,7.6083693e-07
1.235,7.8635894e-07
1.24,8.1235868e-07
1.245,8.3883494e-07
1.25,8.657864e-07
1.255,8.9321171e-07
1.26,9.2110946e-07
1.265,9.4947818e-07
1.27,9.7831633e-07
1.275,1.0076224e-06
1.28,1.0373946e-06
1.285,1.0676315e-06
1.29,1.0983312e-06
1.295,1.1294921e-06
1.3,1.1611123e-06
1.305,1.1931899e-06
1.31,1.2257233e-06
1.315,1.2587104e-06
1.32,1.2921493e-06
1.325,1.3260381e-06
1.33,1.3603747e-06
1.335,1.3951572e-06
1.34,1.4303835e-06
1.345,1.4660516e-06
1.35,1.5021592e-06
1.355,1.5387044e-06
1.36,1.5756849e-06
1.365,1.6130986e-06
1.37,1.6509433e-06
1.375,1.6892168e-06
1.38,1.7279168e-06
1.385,1.7670411e-06
1.39,1.8065874e-06
1.395,1.8465535e-06
1.4,1.886937e-06
1.405,1.9277357e-06
1.41,1.9689471e-06
1.415,2.0105691e-06
1.42,2.0525991e-06
1.425,2.095035e-06
1.43,2.1378742e-06
1.435,2.1811144e-06
1.44,2.2247532e-06
1.445,2.2687883e-06
1.45,2.3132172e-06
1.455,2.3580375e-06
1.46,2.4032468e-06
1.465,2.4488427e-06
1.47,2.4948228e-06
1.475,2.5411847e-06
1.48,2.5879259e-06
1.485,2.6350441e-06
1.49,2.6825367e-06
1.495,2.7304013e-06
1.5,2.7786356e-06
