drain TotalCurrent(GIDL_ON_R3_n46_des) X,drain TotalCurrent(GIDL_ON_R3_n46_des) Y
0,-1.9686518e-16
-0.005,3.8382303e-16
-0.01,-1.6140103e-16
-0.015,-2.5981667e-17
-0.02,1.8494534e-16
-0.025,7.0347831e-17
-0.03,-4.012606e-16
-0.035,4.0082014e-16
-0.04,3.48019e-16
-0.045,-1.3509193e-16
-0.05,2.7709626e-17
-0.055,5.7350998e-17
-0.06,7.5241393e-17
-0.065,-1.1831279e-17
-0.07,6.0414947e-16
-0.075,-3.0553003e-17
-0.08,1.1765364e-16
-0.085,-1.2599565e-16
-0.09,-3.1962189e-16
-0.095,2.6011689e-16
-0.1,-2.8062861e-16
-0.105,-2.74449e-16
-0.11,6.3328592e-16
-0.115,4.8135348e-16
-0.12,-2.2485815e-16
-0.125,5.0266034e-18
-0.13,4.8698393e-16
-0.135,-4.8944104e-16
-0.14,1.998261e-16
-0.145,-1.3304951e-16
-0.15,2.9348314e-16
-0.155,3.6177758e-16
-0.16,9.5191056e-17
-0.165,6.7506293e-17
-0.17,7.8777065e-17
-0.175,-3.1144662e-16
-0.18,-3.2829412e-16
-0.185,3.1906909e-16
-0.19,2.1438229e-16
-0.195,6.5187985e-16
-0.2,1.9533004e-16
-0.205,-2.5343922e-16
-0.21,3.1214523e-16
-0.215,-2.6365377e-16
-0.22,2.1900975e-16
-0.225,-9.9415125e-17
-0.23,3.8294671e-16
-0.235,4.2567526e-16
-0.24,2.8207956e-16
-0.245,-2.193506e-16
-0.25,3.3811897e-16
-0.255,2.8511316e-16
-0.26,-3.9991049e-16
-0.265,3.499181e-16
-0.27,-2.4420756e-17
-0.275,-2.5292848e-16
-0.28,2.9657585e-16
-0.285,-8.3659367e-17
-0.29,4.0489487e-17
-0.295,2.9387162e-16
-0.3,1.3241904e-16
-0.305,2.8922154e-16
-0.31,-6.3545884e-17
-0.315,-7.5368926e-17
-0.32,2.4370023e-16
-0.325,2.5120871e-16
-0.33,5.6471127e-16
-0.335,4.2497863e-17
-0.34,6.7153478e-16
-0.345,8.3468229e-16
-0.35,1.5096843e-16
-0.355,8.1286949e-17
-0.36,3.9018792e-16
-0.365,7.2248842e-16
-0.37,4.7809135e-16
-0.375,3.8632741e-16
-0.38,4.0807963e-16
-0.385,5.9985949e-16
-0.39,-2.0842555e-17
-0.395,2.8262247e-16
-0.4,5.2507984e-16
-0.405,6.9253317e-16
-0.41,7.1750969e-16
-0.415,9.6676731e-16
-0.42,8.1820151e-16
-0.425,8.5744268e-16
-0.43,2.6633147e-16
-0.435,7.5339701e-16
-0.44,1.124824e-15
-0.445,1.4862415e-15
-0.45,1.0691889e-15
-0.455,9.494911e-16
-0.46,1.6238487e-15
-0.465,1.2989759e-15
-0.47,1.575942e-15
-0.475,1.213006e-15
-0.48,1.6578182e-15
-0.485,1.9147311e-15
-0.49,1.8018509e-15
-0.495,1.6866577e-15
-0.5,1.7893971e-15

