MEB_nm,Temperature_K,E_wall_max_V_per_cm,E_peak_X_um,Normalized_to_same_MEB_300K,Peak_inside_formal_ROI,raw_rows,P1_to_B0_field_ratio
36,300,867936.6,0.03865625,1.0,True,251,
36,340,864258.25,0.03865625,0.9957619600325646,True,251,
36,380,860195.18,0.03865625,0.9910806618824464,True,251,
41,300,857194.93,0.0425625,1.0,True,250,0.9876239001788841
41,340,853445.96,0.0425625,0.9956264673660633,True,251,0.9874895148527654
41,380,849313.54,0.04296875,0.9908056035749068,True,251,0.9873498012392955
