MEB_nm,Temperature_K,GIDL_ON_A,Normalized_to_same_MEB_300K,Normalized_to_B0_300K,R5_300K_reference_A,R5_reproduction_error_pct,P1_to_B0_ratio_if_applicable
31,300,1.9624468e-14,1.0,1.4243607640354872,1.9624468e-14,0.0,
31,340,2.8417863e-14,1.4480832295683124,2.062592935254897,,,
31,380,8.3890071e-14,4.274769181004041,6.088813496730269,,,
36,300,1.3777737e-14,1.0,1.0,1.3777737e-14,0.0,
36,340,2.0596211e-14,1.4948907066523334,1.4948907066523334,,,
36,380,7.2793771e-14,5.283434500165012,5.283434500165012,,,
41,300,7.7683012e-15,1.0,0.5638299816580908,7.7683012e-15,0.0,0.5638299816580908
41,340,1.1482812e-14,1.478162561461958,0.8334323699167723,,,0.5575206041538417
41,380,6.0486855e-14,7.786368401884314,4.390187953217571,,,0.8309344902601625
