MEB_nm,Temperature_K,Vth_low_V,Vth_high_V,SS_low_mVdec,SS_high_mVdec,SS_low_R2,SS_high_R2,SS_low_points,SS_high_points,Ion_A,DIBL_mV_per_V,source
36,300,0.932629109117192,0.8878434442859046,106.81713265076874,106.97456387904984,,,,,4.141341e-06,47.14280508556583,Run 4 formal 300 K reuse
41,300,0.9326305547002391,0.887819294786402,106.8487594338755,106.98396019420656,,,,,4.1404784e-06,47.16974727772334,Run 4 formal 300 K reuse
36,340,0.8132061211060155,0.7671812173204121,126.02965949003892,127.7709208169428,0.9997439323518491,0.9995445584983179,101.0,103.0,7.3687816e-06,48.44726714274044,Run 6C raw CSV
41,340,0.8132088379140288,0.7671539916268726,126.0835837812142,127.74663802771306,0.9997306376341092,0.9995763683391161,101.0,103.0,7.3668271e-06,48.47878556542755,Run 6C raw CSV
36,380,0.6937451993189101,0.6440684525078635,163.85703998393257,165.71326155980154,0.9923042349956178,0.9923548745004637,111.0,101.0,1.124556e-05,52.29131243268065,Run 6C raw CSV
41,380,0.6937491416649526,0.6440348788658479,163.88330986579896,165.74405585736628,0.9923163451777678,0.992369959698614,111.0,101.0,1.1241907e-05,52.33080294642604,Run 6C raw CSV
