frequency,v(s),v(d),v(g),v(b),"a(s,s)","c(s,s)","a(s,d)","c(s,d)","a(s,g)","c(s,g)","a(s,b)","c(s,b)","a(d,s)","c(d,s)","a(d,d)","c(d,d)","a(d,g)","c(d,g)","a(d,b)","c(d,b)","a(g,s)","c(g,s)","a(g,d)","c(g,d)","a(g,g)","c(g,g)","a(g,b)","c(g,b)","a(b,s)","c(b,s)","a(b,d)","c(b,d)","a(b,g)","c(b,g)","a(b,b)","c(b,b)"
1000000.0,0.0,1.2,-0.71,0.0,1.06344325855888e-12,2.72678486042144e-16,2.33811849812345e-16,-2.19465687756033e-17,4.40823514573761e-15,-1.19561973027462e-16,-5.71467138473801e-15,-1.31169944239065e-16,2.28109222380372e-16,-2.19465687755923e-17,-1.97496605160935e-12,2.55805107747607e-16,1.91095959141283e-15,-1.5947502668475e-16,-2.37253616753709e-15,-7.43835122872652e-17,4.39246267399978e-15,-1.19561973027468e-16,1.90100744135281e-15,-1.59475026684765e-16,0.0,9.11586621930208e-16,-3.17224830712691e-14,-6.32549622217868e-16,-5.71054388271389e-15,-1.31169944239078e-16,-2.38048850297124e-15,-7.43835122872412e-17,-3.16846429208444e-14,-6.32549622217934e-16,6.07681862033647e-13,8.38103078744099e-16
1000000.0,0.0,1.2,-0.7,0.0,1.36728418957571e-12,2.72284434789975e-16,2.24102556916145e-16,-2.19685163247356e-17,4.29182552575733e-15,-1.20552855209769e-16,-5.57623770600218e-15,-1.29763063255445e-16,2.17054629932952e-16,-2.1968516324725e-17,-4.55761396525235e-13,2.55627580354612e-16,1.83927110535658e-15,-1.60298588968264e-16,-2.28300291269857e-15,-7.33604750616101e-17,4.28388559481933e-15,-1.20552855209777e-16,1.82791002178163e-15,-1.60298588968278e-16,0.0,9.04696002921884e-16,-3.08670124129968e-14,-6.23844558743638e-16,-5.57315348739448e-15,-1.29763063255456e-16,-2.28771869530571e-15,-7.33604750615898e-17,-3.08133455368538e-14,-6.23844558743722e-16,4.55761396525235e-13,8.26968097060505e-16
1000000.0,0.0,1.2,-0.69,0.0,1.06344325855888e-12,2.71894693185134e-16,2.1453188061423e-16,-2.19907888523826e-17,4.17375218959411e-15,-1.21552267377596e-16,-5.43875814600504e-15,-1.28351636955168e-16,2.17516768393043e-16,-2.19907888523716e-17,1.51920465508412e-13,2.55450031341012e-16,1.78206685891255e-15,-1.6113229093594e-16,-2.18885162539985e-15,-7.23269515527042e-17,4.17510445113185e-15,-1.21552267377593e-16,1.75442167322669e-15,-1.61132290935953e-16,0.0,8.97637258754719e-16,-3.00013049281148e-14,-6.14952700441177e-16,-5.43027388921574e-15,-1.28351636955187e-16,-2.19556934556297e-15,-7.23269515526833e-17,-2.99807473689841e-14,-6.14952700441225e-16,9.11522793050471e-13,8.15631288949084e-16
