frequency,v(s),v(d),v(g),v(b),"a(s,s)","c(s,s)","a(s,d)","c(s,d)","a(s,g)","c(s,g)","a(s,b)","c(s,b)","a(d,s)","c(d,s)","a(d,d)","c(d,d)","a(d,g)","c(d,g)","a(d,b)","c(d,b)","a(g,s)","c(g,s)","a(g,d)","c(g,d)","a(g,g)","c(g,g)","a(g,b)","c(g,b)","a(b,s)","c(b,s)","a(b,d)","c(b,d)","a(b,g)","c(b,g)","a(b,b)","c(b,b)"
1000000.0,0.0,0.0,-0.01,0.0,4.55761396525235e-13,2.59539064141946e-16,-2.60273774445184e-16,-2.06005760514842e-17,1.71896045083238e-16,-1.83925396192324e-16,-4.33259429726832e-16,-5.50130918981459e-17,-2.56166737044152e-16,-2.06005760514842e-17,0.0,2.71088790344721e-16,1.78906301194283e-16,-1.94446309417757e-16,-3.96448147407512e-16,-5.60419048754849e-17,1.6392326736254e-16,-1.83925396192324e-16,1.53282781725023e-16,-1.94446309417757e-16,0.0,5.52941137058825e-16,-9.65347231777839e-16,-1.7456943144874e-16,-4.37094607617818e-16,-5.50130918981452e-17,-3.99949850912704e-16,-5.60419048754843e-17,-9.6594830040513e-16,-1.7456943144874e-16,-9.11522793050471e-13,2.85624428222358e-16
1000000.0,0.0,0.0,0.0,0.0,0.0,2.59560347238513e-16,-3.07835856621106e-16,-2.06428601478093e-17,1.86262100352474e-16,-1.84230797843122e-16,-4.22799117739644e-16,-5.468668924759e-17,-3.09699842705177e-16,-2.06428601478093e-17,-6.07681862033647e-13,2.71131316461463e-16,1.4281125110708e-16,-1.94764646371044e-16,-3.89454310920569e-16,-5.57238099426029e-17,1.59363830122385e-16,-1.84230797843122e-16,1.48927795338795e-16,-1.94764646371044e-16,0.0,5.51835906117027e-16,-9.32443636944861e-16,-1.72840461902867e-16,-4.29769326001111e-16,-5.46866892475891e-17,-3.94537547662363e-16,-5.57238099426022e-17,-9.31908227728177e-16,-1.72840461902868e-16,0.0,2.83250961093051e-16
1000000.0,0.0,0.0,0.01,0.0,-6.07681862033647e-13,2.59587547373855e-16,-3.69444242893429e-16,-2.0686017658929e-17,1.65032869662774e-16,-1.84534231369985e-16,-4.20216049491933e-16,-5.43672983449456e-17,-3.62906695563437e-16,-2.0686017658929e-17,-1.21536372406729e-12,2.71179858546909e-16,1.80938513482996e-16,-1.95081384372007e-16,-3.84999507204601e-16,-5.54124565159809e-17,1.55008771938761e-16,-1.84534231369986e-16,1.44767417525674e-16,-1.95081384372008e-16,0.0,5.50799987433132e-16,-9.01426612373888e-16,-1.71184371691152e-16,-4.23414331856414e-16,-5.43672983449451e-17,-3.8931802170321e-16,-5.54124565159803e-17,-9.01440444710479e-16,-1.71184371691152e-16,1.51920465508412e-12,2.80964126552066e-16
