gate_V,drain_TotalCurrent_A
0.0,1.2701438e-13
-0.005,1.2334935e-13
-0.01,1.1974534e-13
-0.015,1.162041e-13
-0.02,1.1290813e-13
-0.025,1.0967503e-13
-0.03,1.0716183e-13
-0.035,1.0477123e-13
-0.04,1.0227538e-13
-0.045,9.9584266e-14
-0.05,9.7355034e-14
-0.055,9.517253e-14
-0.06,9.2719452e-14
-0.065,9.1184847e-14
-0.07,8.9691059e-14
-0.075,8.787598e-14
-0.08,8.5981945e-14
-0.085,8.5203778e-14
-0.09,8.348863e-14
-0.095,8.1985541e-14
-0.1,8.0746093e-14
-0.105,7.9489015e-14
-0.11,7.8331275e-14
-0.115,7.7843141e-14
-0.12,7.6440945e-14
-0.125,7.5104901e-14
-0.13,7.4015317e-14
-0.135,7.371972e-14
-0.14,7.2162073e-14
-0.145,7.173819e-14
-0.15,7.1041535e-14
-0.155,7.0288706e-14
-0.16,6.9144756e-14
-0.165,6.884863e-14
-0.17,6.7979507e-14
-0.175,6.7243916e-14
-0.18,6.6410192e-14
-0.185,6.5882888e-14
-0.19,6.5104179e-14
-0.195,6.4958255e-14
-0.2,6.3980459e-14
-0.205,6.3622155e-14
-0.21,6.3373793e-14
-0.215,6.2491339e-14
-0.22,6.2389285e-14
-0.225,6.1726425e-14
-0.23,6.1312478e-14
-0.235,6.0623464e-14
-0.24,6.0586558e-14
-0.245,5.9959887e-14
-0.25,5.9648434e-14
-0.255,5.9707904e-14
-0.26,5.9020479e-14
-0.265,5.8287962e-14
-0.27,5.8484441e-14
-0.275,5.7781748e-14
-0.28,5.717826e-14
-0.285,5.7302105e-14
-0.29,5.7298631e-14
-0.295,5.6831232e-14
-0.3,5.6033614e-14
-0.305,5.5764517e-14
-0.31,5.5778108e-14
-0.315,5.5293364e-14
-0.32,5.5092971e-14
-0.325,5.4804687e-14
-0.33,5.4033158e-14
-0.335,5.4773547e-14
-0.34,5.4088262e-14
-0.345,5.4078128e-14
-0.35,5.3791043e-14
-0.355,5.3720518e-14
-0.36,5.3250938e-14
-0.365,5.2946635e-14
-0.37,5.2798117e-14
-0.375,5.2870328e-14
-0.38,5.2773905e-14
-0.385,5.1959101e-14
-0.39,5.2345003e-14
-0.395,5.2046699e-14
-0.4,5.159921e-14
-0.405,5.1521811e-14
-0.41,5.1397442e-14
-0.415,5.0918251e-14
-0.42,5.0880374e-14
-0.425,5.0800939e-14
-0.43,5.0951905e-14
-0.435,5.0545024e-14
-0.44,5.0296471e-14
-0.445,5.0333004e-14
-0.45,5.0254074e-14
-0.455,4.9667617e-14
-0.46,4.9855582e-14
-0.465,4.9837081e-14
-0.47,4.9520148e-14
-0.475,4.9159397e-14
-0.48,4.8985139e-14
-0.485,4.9323059e-14
-0.49,4.9003522e-14
-0.495,4.8756722e-14
-0.5,4.8986607e-14
-0.505,4.8457943e-14
-0.51,4.8424094e-14
-0.515,4.8398473e-14
-0.52,4.7993704e-14
-0.525,4.7714628e-14
-0.53,4.7720116e-14
-0.535,4.8045073e-14
-0.54,4.7635747e-14
-0.545,4.7819913e-14
-0.55,4.7372582e-14
-0.555,4.7211476e-14
-0.56,4.7418624e-14
-0.565,4.727243e-14
-0.57,4.7360772e-14
-0.575,4.7148581e-14
-0.58,4.685338e-14
-0.585,4.6671776e-14
-0.59,4.6436805e-14
-0.595,4.6754777e-14
-0.6,4.6750984e-14
-0.605,4.6118492e-14
-0.61,4.6517807e-14
-0.615,4.6720124e-14
-0.62,4.6179739e-14
-0.625,4.6115462e-14
-0.63,4.6278392e-14
-0.635,4.6336755e-14
-0.64,4.6092919e-14
-0.645,4.6364447e-14
-0.65,4.5842374e-14
-0.655,4.574026e-14
-0.66,4.5882813e-14
-0.665,4.5766766e-14
-0.67,4.5677053e-14
-0.675,4.5710957e-14
-0.68,4.5497842e-14
-0.685,4.5498357e-14
-0.69,4.5424758e-14
-0.695,4.5177029e-14
-0.7,4.5594188e-14
