MEB_nm,I_GIDL_ref_A,Normalized_GIDL_vs_36nm,Vth_low_V,Vth_high_V,SS_low_mVdec,SS_high_mVdec,Ion_A,DIBL_mV_per_V
31,1.9624468e-14,1.4243607640354872,0.9326287232383096,0.8878563894173858,106.80719569261103,106.93604730702543,4.1417612e-06,47.128772443077715
36,1.3777737e-14,1.0,0.9326291091171921,0.8878434442859046,106.81713265076874,106.97456387904984,4.141341e-06,47.14280508556583
41,7.7683012e-15,0.5638299816580908,0.9326305547002391,0.887819294786402,106.8487594338755,106.98396019420655,4.1404784e-06,47.16974727772334
