MEB_nm,SS_low_R2,SS_low_fit_points,SS_high_R2,SS_high_fit_points,GIDL_signed_endpoint_A,Ion_signed_endpoint_A
31,0.9999907824987045,86,0.9999806104575003,86,1.9624468e-14,4.1417612e-06
36,0.9999903911039547,86,0.9999783701690288,86,1.3777737e-14,4.141341e-06
41,0.9999892438485245,86,0.9999801374121545,86,7.7683012e-15,4.1404784e-06
