gate_V,drain_TotalCurrent_A
0.0,1.2666962e-13
-0.005,1.229532e-13
-0.01,1.1914069e-13
-0.015,1.1596347e-13
-0.02,1.1282697e-13
-0.025,1.0980852e-13
-0.03,1.0672406e-13
-0.035,1.0408965e-13
-0.04,1.0161868e-13
-0.045,9.9268468e-14
-0.05,9.7200814e-14
-0.055,9.547006e-14
-0.06,9.2561304e-14
-0.065,9.140394e-14
-0.07,8.9863637e-14
-0.075,8.8192086e-14
-0.08,8.6288038e-14
-0.085,8.4596726e-14
-0.09,8.3021876e-14
-0.095,8.1711367e-14
-0.1,8.068228e-14
-0.105,7.9668875e-14
-0.11,7.8217316e-14
-0.115,7.7263408e-14
-0.12,7.6205072e-14
-0.125,7.506208e-14
-0.13,7.4129753e-14
-0.135,7.3439268e-14
-0.14,7.2462696e-14
-0.145,7.1441151e-14
-0.15,7.0995611e-14
-0.155,6.99888e-14
-0.16,6.8768986e-14
-0.165,6.8403847e-14
-0.17,6.8026064e-14
-0.175,6.7206081e-14
-0.18,6.6839219e-14
-0.185,6.5927947e-14
-0.19,6.559488e-14
-0.195,6.4993906e-14
-0.2,6.4294273e-14
-0.205,6.3901506e-14
-0.21,6.3440507e-14
-0.215,6.2846025e-14
-0.22,6.1963039e-14
-0.225,6.193608e-14
-0.23,6.1458421e-14
-0.235,6.1050316e-14
-0.24,6.0467515e-14
-0.245,5.9932339e-14
-0.25,5.9736338e-14
-0.255,5.9295237e-14
-0.26,5.903807e-14
-0.265,5.8259554e-14
-0.27,5.8705424e-14
-0.275,5.8105861e-14
-0.28,5.7964359e-14
-0.285,5.7092786e-14
-0.29,5.7206969e-14
-0.295,5.7238571e-14
-0.3,5.6698544e-14
-0.305,5.6643459e-14
-0.31,5.6498803e-14
-0.315,5.5735996e-14
-0.32,5.5788509e-14
-0.325,5.5799747e-14
-0.33,5.5241987e-14
-0.335,5.5286999e-14
-0.34,5.4725908e-14
-0.345,5.4801513e-14
-0.35,5.4676183e-14
-0.355,5.4580124e-14
-0.36,5.4406027e-14
-0.365,5.4303027e-14
-0.37,5.4345412e-14
-0.375,5.4100557e-14
-0.38,5.3918933e-14
-0.385,5.3803442e-14
-0.39,5.346144e-14
-0.395,5.3395765e-14
-0.4,5.3319177e-14
-0.405,5.3497282e-14
-0.41,5.3280367e-14
-0.415,5.3117195e-14
-0.42,5.3425004e-14
-0.425,5.3581903e-14
-0.43,5.3371416e-14
-0.435,5.3212333e-14
-0.44,5.3258124e-14
-0.445,5.3089863e-14
-0.45,5.292157e-14
-0.455,5.3141199e-14
-0.46,5.321004e-14
-0.465,5.3401336e-14
-0.47,5.3125669e-14
-0.475,5.3425617e-14
-0.48,5.3854902e-14
-0.485,5.3854526e-14
-0.49,5.4060597e-14
-0.495,5.4063929e-14
-0.5,5.4202344e-14
-0.505,5.4407743e-14
-0.51,5.4350174e-14
-0.515,5.4725995e-14
-0.52,5.5090124e-14
-0.525,5.5063902e-14
-0.53,5.5341375e-14
-0.535,5.5541183e-14
-0.54,5.6295004e-14
-0.545,5.630431e-14
-0.55,5.69651e-14
-0.555,5.702974e-14
-0.56,5.7613432e-14
-0.565,5.7990858e-14
-0.57,5.855304e-14
-0.575,5.9122687e-14
-0.58,5.9722561e-14
-0.585,5.9866759e-14
-0.59,6.0918258e-14
-0.595,6.1217287e-14
-0.6,6.1811057e-14
-0.605,6.2972853e-14
-0.61,6.3458445e-14
-0.615,6.4099159e-14
-0.62,6.4919537e-14
-0.625,6.5545191e-14
-0.63,6.6721494e-14
-0.635,6.7822113e-14
-0.64,6.832311e-14
-0.645,6.9331651e-14
-0.65,7.0445783e-14
-0.655,7.2035823e-14
-0.66,7.3045229e-14
-0.665,7.4190775e-14
-0.67,7.5499712e-14
-0.675,7.6602732e-14
-0.68,7.7970387e-14
-0.685,7.9121433e-14
-0.69,8.0611058e-14
-0.695,8.2450709e-14
-0.7,8.3890071e-14
