mesh,mesh_code,points,elements,Vth_VD0p05_V,Vth_VD1p0_V,SS_VD0p05_mVdec,SS_VD1p0_mVdec,Ion_VG1p5_VD1p0_A,DIBL_mV_per_V,status
coarse,0,1456,3187,0.915309463879743,0.875677106513636,105.10523610030491,105.4761156248155,5.1816122e-06,41.718270911691626,rejected
medium,1,4571,9657,0.9326291091171921,0.8878434442859046,106.81713265076874,106.97456387904984,4.141341e-06,47.14280508556583,selected_mesh_dc
fine,2,4993,10513,0.9326819706838715,0.8879019267151141,106.80228506907648,106.96424495562862,4.1384956e-06,47.13688838816562,convergence_reference
