vg_V,id_btbt_on_A,id_btbt_off_A,abs_id_btbt_on_A,abs_id_btbt_off_A,abs_ratio_on_off
-0.4,4.872724200000001e-16,-1.0132248000000001e-16,4.872724200000001e-16,1.0132248000000001e-16,4.809124490438845
-0.5,1.9201083e-15,-3.1345613000000003e-16,1.9201083e-15,3.1345613000000003e-16,6.1256045622716
-0.6,5.2935939e-15,-4.0770514e-17,5.2935939e-15,4.0770514e-17,129.83878250835886
-0.65,8.665881e-15,1.788421e-17,8.665881e-15,1.788421e-17,484.5548671146223
-0.7,1.3777737e-14,-4.2880983000000004e-16,1.3777737e-14,4.2880983000000004e-16,32.1301799448021
