run_id,case_id,artifact_type,file_path,git_tracked,tool,source_node,condition_id,meb_nm,temperature_K,vd_V,vg_condition,mesh_id,physics_id,status,description,source_sha256
R5,R5B_CGD_31,csv,data/run05/raw/ac/r05b_ac_meb31_1mhz.csv,yes,SDevice/SVisual,n31,R5B_CGD,31.0,300,1.2,-0.71:-0.69; primary -0.70,1,BTBT_OFF_AC,PASS,Formal five-level AC matrix CSV export,
R5,R5B_CGD_33p5,csv,data/run05/raw/ac/r05b_ac_meb33p5_1mhz.csv,yes,SDevice/SVisual,n53,R5B_CGD,33.5,300,1.2,-0.71:-0.69; primary -0.70,1,BTBT_OFF_AC,PASS,Formal five-level AC matrix CSV export,
R5,R5B_CGD_36,csv,data/run05/raw/ac/r05b_ac_meb36_1mhz.csv,yes,SDevice/SVisual,n10,R5B_CGD,36.0,300,1.2,-0.71:-0.69; primary -0.70,1,BTBT_OFF_AC,PASS,Formal five-level AC matrix CSV export,
R5,R5B_CGD_38p5,csv,data/run05/raw/ac/r05b_ac_meb38p5_1mhz.csv,yes,SDevice/SVisual,n60,R5B_CGD,38.5,300,1.2,-0.71:-0.69; primary -0.70,1,BTBT_OFF_AC,PASS,Formal five-level AC matrix CSV export,
R5,R5B_CGD_41,csv,data/run05/raw/ac/r05b_ac_meb41_1mhz.csv,yes,SDevice/SVisual,n34,R5B_CGD,41.0,300,1.2,-0.71:-0.69; primary -0.70,1,BTBT_OFF_AC,PASS,Formal five-level AC matrix CSV export,
R5,AC_LOCAL_r05a_ac_vd0_vgcenter0_1mhz,plt-local-only,R5A_AC_n10_ac_des.plt,no,SDevice,,R5_AC_SOURCE,,300,,,,AC,LOCAL_ONLY,Local source PLT for committed CSV export; rows=3,4bf432d97cdc8b46a608ca91e86756e4541043da567fa43ba7169182cabf882e
R5,AC_LOCAL_r05a_ac_vd1p2_vgcenter0_1mhz,plt-local-only,R5A_AC_VD1P2_n10_ac_des.plt,no,SDevice,,R5_AC_SOURCE,,300,,,,AC,LOCAL_ONLY,Local source PLT for committed CSV export; rows=3,f167d9c0637c090fe8c34d1086dab1b3d534d4606a29e030d7c75c0c4ab9b184
R5,AC_LOCAL_r05a_ac_vd1p2_vgcenter_m0p7_100khz_mesh1,plt-local-only,R5A_AC_100KHZ_n10_ac_des.plt,no,SDevice,,R5_AC_SOURCE,,300,,,,AC,LOCAL_ONLY,Local source PLT for committed CSV export; rows=3,b3242fef7e8af6aaff714c4c0b67d3f662cdd94fbe32ef76f70f91f0c9d276a7
R5,AC_LOCAL_r05a_ac_vd1p2_vgcenter_m0p7_1mhz_mesh1,plt-local-only,R5A_AC_VD1P2_VGM0P7_n10_ac_des.plt,no,SDevice,,R5_AC_SOURCE,,300,,,,AC,LOCAL_ONLY,Local source PLT for committed CSV export; rows=3,5a8a94ba5b94f4db5c3f0f380bfd76781a26f1582cd540d23006224b057b3ffc
R5,AC_LOCAL_r05a_ac_vd1p2_vgcenter_m0p7_10mhz_mesh1,plt-local-only,R5A_AC_10MHZ_n10_ac_des.plt,no,SDevice,,R5_AC_SOURCE,,300,,,,AC,LOCAL_ONLY,Local source PLT for committed CSV export; rows=3,db77e422bb5be605897fe3521b3db6a2b2d176f04f35d68577bb92234ec9d269
