drain TotalCurrent(GIDL_ON_R3_n56_des) X,drain TotalCurrent(GIDL_ON_R3_n56_des) Y
0,5.868265e-18
-0.005,6.7470817e-18
-0.01,3.2151606e-16
-0.015,-1.3639751e-16
-0.02,-9.3341986e-17
-0.025,2.5934815e-16
-0.03,5.2288888e-16
-0.035,-6.3690008e-17
-0.04,-1.7723143e-16
-0.045,-3.2763878e-18
-0.05,4.2427724e-16
-0.055,-1.3737739e-16
-0.06,1.5391419e-17
-0.065,-2.5258917e-16
-0.07,1.3199828e-16
-0.075,3.3926806e-16
-0.08,1.9815623e-16
-0.085,-5.6109478e-17
-0.09,4.0632453e-16
-0.095,9.8023841e-18
-0.1,-1.4004735e-16
-0.105,4.4489269e-16
-0.11,2.2311872e-16
-0.115,2.2261339e-16
-0.12,-1.4536541e-16
-0.125,-2.8445184e-16
-0.13,3.2018876e-16
-0.135,5.9134122e-17
-0.14,5.8497683e-17
-0.145,-2.7792738e-16
-0.15,3.7481677e-17
-0.155,-4.1258299e-16
-0.16,2.9019474e-16
-0.165,1.2165166e-16
-0.17,-2.3653952e-16
-0.175,-1.0330131e-16
-0.18,1.917056e-17
-0.185,8.6294432e-17
-0.19,-1.4633089e-16
-0.195,3.6522869e-17
-0.2,1.4934136e-16
-0.205,-2.2674596e-18
-0.21,2.4095031e-16
-0.215,2.907137e-16
-0.22,3.139187e-16
-0.225,3.934071e-16
-0.23,3.7097082e-16
-0.235,-1.0626549e-16
-0.24,-1.0039404e-16
-0.245,-3.3731968e-16
-0.25,9.3815278e-17
-0.255,6.5495387e-17
-0.26,5.0256286e-16
-0.265,-1.0781514e-16
-0.27,6.0642349e-16
-0.275,5.0772624e-16
-0.28,1.1383285e-16
-0.285,5.0617598e-16
-0.29,1.6558136e-16
-0.295,1.9422988e-16
-0.3,4.8064182e-16
-0.305,3.6245576e-16
-0.31,1.6421889e-16
-0.315,6.2372336e-16
-0.32,5.4676007e-16
-0.325,4.0599817e-16
-0.33,1.7447753e-16
-0.335,2.8943927e-16
-0.34,5.3878954e-16
-0.345,7.0859508e-16
-0.35,2.4765473e-16
-0.355,6.5530302e-16
-0.36,3.2838278e-16
-0.365,6.9091853e-16
-0.37,6.480531e-16
-0.375,4.2518958e-16
-0.38,8.9905361e-16
-0.385,5.6978064e-16
-0.39,7.278214e-16
-0.395,6.0890092e-16
-0.4,1.0582271e-15
-0.405,9.5220971e-16
-0.41,6.9793014e-16
-0.415,9.9574925e-16
-0.42,1.04298e-15
-0.425,1.2340925e-15
-0.43,1.1494069e-15
-0.435,1.4660971e-15
-0.44,1.1683451e-15
-0.445,1.2123842e-15
-0.45,1.543667e-15
-0.455,1.9768188e-15
-0.46,1.750108e-15
-0.465,1.4851094e-15
-0.47,1.8221589e-15
-0.475,2.3927817e-15
-0.48,2.5991163e-15
-0.485,2.2504039e-15
-0.49,2.1526562e-15
-0.495,2.305166e-15
-0.5,2.7656013e-15
-0.505,3.1288615e-15
-0.51,3.07626e-15
-0.515,3.1074427e-15
-0.52,3.3066952e-15
-0.525,3.0365304e-15
-0.53,3.7674352e-15
-0.535,4.3013578e-15
-0.54,4.1988637e-15
-0.545,4.6417655e-15
-0.55,4.660039e-15
-0.555,4.7993246e-15
-0.56,4.9889442e-15
-0.565,5.0235981e-15
-0.57,5.8696996e-15
-0.575,6.0319194e-15
-0.58,6.2285482e-15
-0.585,6.2863443e-15
-0.59,6.4870233e-15
-0.595,7.0427503e-15
-0.6,7.5931671e-15
-0.605,8.0184968e-15
-0.61,8.6121595e-15
-0.615,8.8483724e-15
-0.62,9.1318466e-15
-0.625,1.010348e-14
-0.63,1.0327636e-14
-0.635,1.059597e-14
-0.64,1.1080865e-14
-0.645,1.2080369e-14
-0.65,1.2119386e-14
-0.655,1.2907246e-14
-0.66,1.3603486e-14
-0.665,1.4228508e-14
-0.67,1.4743234e-14
-0.675,1.5836871e-14
-0.68,1.6465658e-14
-0.685,1.7044841e-14
-0.69,1.7870389e-14
-0.695,1.8779772e-14
-0.7,1.9624468e-14

