drain TotalCurrent(IdVg_R1_n18_des) X,drain TotalCurrent(IdVg_R1_n18_des) Y
0,-8.2074073e-17
0.005,4.3520113e-17
0.01,1.7581777e-16
0.015,-3.7442661e-17
0.02,1.1300201e-16
0.025,2.0728437e-16
0.03,-1.5174325e-16
0.035,-2.3289978e-17
0.04,1.2552037e-16
0.045,1.1505878e-16
0.05,-1.3672118e-16
0.055,-7.5519545e-17
0.06,-1.5554149e-16
0.065,-7.9976099e-17
0.07,7.0576893e-17
0.075,2.1637158e-18
0.08,-5.3949031e-18
0.085,1.8914251e-16
0.09,1.2516352e-16
0.095,-5.1750957e-18
0.1,-8.2177483e-17
0.105,-1.3675551e-18
0.11,1.1355821e-16
0.115,-1.1650793e-16
0.12,5.2765601e-17
0.125,2.0594489e-17
0.13,6.7385296e-17
0.135,1.356658e-16
0.14,7.4299881e-17
0.145,-4.7886585e-17
0.15,1.5824702e-16
0.155,2.2205843e-16
0.16,5.3979517e-17
0.165,1.1678089e-16
0.17,2.8684455e-16
0.175,1.7031128e-16
0.18,2.0859717e-16
0.185,5.4704056e-17
0.19,1.827738e-16
0.195,1.8452184e-16
0.2,1.9828567e-16
0.205,3.5438232e-17
0.21,3.3872392e-16
0.215,3.3130584e-16
0.22,1.3770215e-16
0.225,2.3446474e-16
0.23,3.1179597e-16
0.235,2.8595722e-16
0.24,4.3102902e-16
0.245,4.1920197e-16
0.25,7.5556211e-16
0.255,5.9203285e-16
0.26,6.7150447e-16
0.265,8.8572001e-16
0.27,8.0614174e-16
0.275,1.0479995e-15
0.28,1.0389358e-15
0.285,1.1669843e-15
0.29,1.19047e-15
0.295,1.4550348e-15
0.3,1.3768697e-15
0.305,1.8012445e-15
0.31,1.8729061e-15
0.315,2.3943067e-15
0.32,2.4994508e-15
0.325,2.6307338e-15
0.33,2.9432355e-15
0.335,3.4094217e-15
0.34,3.6423362e-15
0.345,3.8447153e-15
0.35,4.6408236e-15
0.355,5.2630856e-15
0.36,5.4299881e-15
0.365,6.0499423e-15
0.37,6.7998051e-15
0.375,7.5694214e-15
0.38,8.5436963e-15
0.385,9.2869075e-15
0.39,1.05424e-14
0.395,1.1489979e-14
0.4,1.2668756e-14
0.405,1.4166418e-14
0.41,1.5867524e-14
0.415,1.7778364e-14
0.42,1.9425353e-14
0.425,2.1666602e-14
0.43,2.4371341e-14
0.435,2.6691994e-14
0.44,2.989052e-14
0.445,3.3124324e-14
0.45,3.6853401e-14
0.455,4.1166463e-14
0.46,4.5665915e-14
0.465,5.0878296e-14
0.47,5.6541299e-14
0.475,6.300722e-14
0.48,7.011031e-14
0.485,7.8194203e-14
0.49,8.6878267e-14
0.495,9.6731351e-14
0.5,1.0780851e-13
0.505,1.1973712e-13
0.51,1.3365831e-13
0.515,1.4851654e-13
0.52,1.654703e-13
0.525,1.8414047e-13
0.53,2.0489396e-13
0.535,2.2867816e-13
0.54,2.5456542e-13
0.545,2.8363138e-13
0.55,3.1582157e-13
0.555,3.5174256e-13
0.56,3.9187891e-13
0.565,4.3670134e-13
0.57,4.8645739e-13
0.575,5.4187232e-13
0.58,6.0409376e-13
0.585,6.7316469e-13
0.59,7.4995092e-13
0.595,8.3578372e-13
0.6,9.3123738e-13
0.605,1.0378726e-12
0.61,1.1568965e-12
0.615,1.2888079e-12
0.62,1.4367792e-12
0.625,1.6011965e-12
0.63,1.7850362e-12
0.635,1.9892078e-12
0.64,2.2172793e-12
0.645,2.4712557e-12
0.65,2.7545931e-12
0.655,3.0704569e-12
0.66,3.4219295e-12
0.665,3.8142604e-12
0.67,4.2510492e-12
0.675,4.737763e-12
0.68,5.2801219e-12
0.685,5.8845602e-12
