drain TotalCurrent(IdVg_R1_n24_des) X,drain TotalCurrent(IdVg_R1_n24_des) Y
1.22,2.2885104e-07
1.225,2.4437851e-07
1.23,2.6083252e-07
1.235,2.7825824e-07
1.24,2.9670228e-07
1.245,3.1621263e-07
1.25,3.3683868e-07
1.255,3.5863117e-07
1.26,3.8164214e-07
1.265,4.0592495e-07
1.27,4.3153421e-07
1.275,4.5852573e-07
1.28,4.869565e-07
1.285,5.1688464e-07
1.29,5.4836932e-07
1.295,5.8147073e-07
1.3,6.1625004e-07
1.305,6.527693e-07
1.31,6.9109141e-07
1.315,7.3128008e-07
1.32,7.733997e-07
1.325,8.1751537e-07
1.33,8.6369276e-07
1.335,9.119981e-07
1.34,9.6249813e-07
1.345,1.01526e-06
1.35,1.0703512e-06
1.355,1.1278395e-06
1.36,1.1877932e-06
1.365,1.2502804e-06
1.37,1.3153696e-06
1.375,1.3831295e-06
1.38,1.4536286e-06
1.385,1.5269355e-06
1.39,1.6031187e-06
1.395,1.6822469e-06
1.4,1.7643882e-06
1.405,1.8496109e-06
1.41,1.9379827e-06
1.415,2.0295713e-06
1.42,2.1244439e-06
1.425,2.2226673e-06
1.43,2.324308e-06
1.435,2.4294318e-06
1.44,2.538104e-06
1.445,2.6503894e-06
1.45,2.7663522e-06
1.455,2.8860557e-06
1.46,3.0095624e-06
1.465,3.1369344e-06
1.47,3.2682324e-06
1.475,3.4035165e-06
1.48,3.542846e-06
1.485,3.6862787e-06
1.49,3.8338718e-06
1.495,3.985681e-06
1.5,4.1417612e-06

