drain TotalCurrent(IdVg_R1_n27_des) X,drain TotalCurrent(IdVg_R1_n27_des) Y
0,1.215766e-16
0.005,-2.1296897e-16
0.01,-6.8690501e-17
0.015,7.4960559e-17
0.02,1.2057633e-16
0.025,-1.8361971e-16
0.03,1.3311849e-16
0.035,-1.5024156e-16
0.04,-4.626208e-17
0.045,-6.8760498e-17
0.05,2.4487244e-17
0.055,1.5910204e-16
0.06,4.7078291e-17
0.065,-5.9952986e-17
0.07,1.2361583e-17
0.075,1.511693e-16
0.08,2.5449129e-16
0.085,3.151569e-16
0.09,1.0537915e-16
0.095,2.236751e-17
0.1,1.7884786e-17
0.105,1.5930251e-16
0.11,3.3312541e-17
0.115,3.8805776e-17
0.12,1.7201146e-16
0.125,-2.3800425e-17
0.13,-2.4772519e-17
0.135,4.6648155e-16
0.14,4.2729154e-17
0.145,-4.4542427e-17
0.15,1.9015515e-16
0.155,3.0574377e-16
0.16,7.5065387e-17
0.165,5.0837157e-16
0.17,1.8970738e-16
0.175,-9.0790074e-17
0.18,4.0305742e-16
0.185,8.3705272e-16
0.19,4.4002987e-16
0.195,7.1618253e-16
0.2,6.1562118e-16
0.205,5.3821793e-16
0.21,5.4262027e-16
0.215,6.0371724e-16
0.22,5.2802108e-16
0.225,1.0412531e-15
0.23,8.9907801e-16
0.235,1.2246553e-15
0.24,1.2775323e-15
0.245,1.1627331e-15
0.25,1.0513407e-15
0.255,1.595864e-15
0.26,1.6724659e-15
0.265,2.0204141e-15
0.27,2.3681832e-15
0.275,2.3739103e-15
0.28,2.8910646e-15
0.285,2.9324515e-15
0.29,3.5090033e-15
0.295,3.3507962e-15
0.3,4.118809e-15
0.305,4.3244558e-15
0.31,4.8322799e-15
0.315,5.4994972e-15
0.32,5.7670115e-15
0.325,6.3927047e-15
0.33,6.9518798e-15
0.335,8.2254262e-15
0.34,9.2142954e-15
0.345,9.9748407e-15
0.35,1.1132838e-14
0.355,1.2179886e-14
0.36,1.3558916e-14
0.365,1.4952142e-14
0.37,1.6366306e-14
0.375,1.8509161e-14
0.38,2.0686159e-14
0.385,2.2873805e-14
0.39,2.5241777e-14
0.395,2.8135029e-14
0.4,3.1468655e-14
0.405,3.4719422e-14
0.41,3.8374322e-14
0.415,4.3065321e-14
0.42,4.7814507e-14
0.425,5.2916458e-14
0.43,5.9080775e-14
0.435,6.5579085e-14
0.44,7.3321117e-14
0.445,8.1149428e-14
0.45,9.0922476e-14
0.455,1.0064481e-13
0.46,1.1230614e-13
0.465,1.2479446e-13
0.47,1.3867732e-13
0.475,1.5419858e-13
0.48,1.7184329e-13
0.485,1.9106459e-13
0.49,2.1279861e-13
0.495,2.3692057e-13
0.5,2.6391266e-13
0.505,2.9398763e-13
0.51,3.2729994e-13
0.515,3.6447379e-13
0.52,4.0535274e-13
0.525,4.5168774e-13
0.53,5.0345725e-13
0.535,5.602606e-13
0.54,6.2427933e-13
0.545,6.9563255e-13
0.55,7.7511525e-13
0.555,8.6345999e-13
0.56,9.6193474e-13
0.565,1.071308e-12
0.57,1.1940207e-12
0.575,1.3307162e-12
0.58,1.4827259e-12
0.585,1.652542e-12
0.59,1.8414615e-12
0.595,2.0521579e-12
0.6,2.2870603e-12
0.605,2.5490891e-12
0.61,2.8406439e-12
0.615,3.1665165e-12
0.62,3.5288627e-12
0.625,3.9337038e-12
0.63,4.3841137e-12
0.635,4.8865833e-12
0.64,5.4464533e-12
0.645,6.0708524e-12
0.65,6.7664432e-12
0.655,7.5420698e-12
0.66,8.4057739e-12
0.665,9.3682372e-12
0.67,1.0440714e-11
0.675,1.1635836e-11
0.68,1.2966708e-11
0.685,1.444935e-11
0.69,1.6099981e-11
0.695,1.7938993e-11
0.7,1.9985757e-11
0.705,2.2265093e-11
0.71,2.4801865e-11
0.715,2.7624531e-11
0.72,3.0765631e-11
0.725,3.4260076e-11
0.73,3.8146309e-11
0.735,4.2467859e-11
0.74,4.727194e-11
0.745,5.2612231e-11
0.75,5.8545102e-11
0.755,6.513624e-11
0.76,7.245582e-11
0.765,8.0582289e-11
0.77,8.9601737e-11
0.775,9.9608061e-11
0.78,1.1070642e-10
0.785,1.2301191e-10
0.79,1.3665089e-10
0.795,1.5176111e-10
0.8,1.6849622e-10
0.805,1.870225e-10
0.81,2.0752367e-10
0.815,2.3020108e-10
0.82,2.5527451e-10
0.825,2.8298496e-10
0.83,3.1359578e-10
0.835,3.473947e-10
0.84,3.8469748e-10
0.845,4.2584654e-10
0.85,4.7121697e-10
0.855,5.2121754e-10
0.86,5.7629225e-10
0.865,6.3692536e-10
0.87,7.0364547e-10
0.875,7.7702477e-10
0.88,8.5768507e-10
0.885,9.4630401e-10
0.89,1.0436145e-09
0.895,1.150412e-09
0.9,1.2675585e-09
0.905,1.3959889e-09
0.91,1.5367134e-09
0.915,1.690826e-09
0.92,1.8595087e-09
0.925,2.0440391e-09
0.93,2.2457959e-09
0.935,2.4662679e-09
0.94,2.7070601e-09
0.945,2.9699029e-09
0.95,3.2566592e-09
0.955,3.5693352e-09
0.96,3.9100911e-09
0.965,4.281246e-09
0.97,4.6852958e-09
0.975,5.1249198e-09
0.98,5.6029946e-09
0.985,6.1226055e-09
0.99,6.6870616e-09
0.995,7.2999095e-09
1,7.9649462e-09
1.005,8.6862384e-09
1.01,9.4681351e-09
1.015,1.0315288e-08
1.02,1.1232666e-08
1.025,1.2225579e-08
1.03,1.3299693e-08
1.035,1.4461055e-08
1.04,1.5716109e-08
1.045,1.7071725e-08
1.05,1.853522e-08
1.055,2.0114379e-08
1.06,2.1817488e-08
1.065,2.3653353e-08
1.07,2.5631333e-08
1.075,2.7761363e-08
1.08,3.0053989e-08
1.085,3.2520395e-08
1.09,3.5172435e-08
1.095,3.8022665e-08
1.1,4.1084374e-08
1.105,4.4371623e-08
1.11,4.7899272e-08
1.115,5.1683021e-08
1.12,5.5739442e-08
1.125,6.0086016e-08
1.13,6.474117e-08
1.135,6.9724309e-08
1.14,7.5055862e-08
1.145,8.0757307e-08
1.15,8.6851213e-08
1.155,9.3361277e-08
1.16,1.0031235e-07
1.165,1.0773049e-07
1.17,1.1564296e-07
1.175,1.2407831e-07
1.18,1.3306634e-07
1.185,1.426382e-07
1.19,1.5282636e-07
1.195,1.6366466e-07
1.2,1.7518832e-07
1.205,1.8743395e-07
1.21,2.004396e-07
1.215,2.1424472e-07
1.22,2.2889019e-07
1.225,2.4441834e-07
1.23,2.6087291e-07
1.235,2.7829908e-07
1.24,2.9674342e-07
1.245,3.1625393e-07
1.25,3.3687996e-07
1.255,3.5867222e-07
1.26,3.8168275e-07
1.265,4.0596486e-07
1.27,4.3157315e-07
1.275,4.585634e-07
1.28,4.8699256e-07
1.285,5.1691872e-07
1.29,5.4840101e-07
1.295,5.8149959e-07
1.3,6.1627557e-07
1.305,6.5279098e-07
1.31,6.9110867e-07
1.315,7.3129228e-07
1.32,7.7340617e-07
1.325,8.1751536e-07
1.33,8.6368549e-07
1.335,9.1198273e-07
1.34,9.6247373e-07
1.345,1.0152256e-06
1.35,1.0703057e-06
1.355,1.1277819e-06
1.36,1.1877222e-06
1.365,1.2501947e-06
1.37,1.315268e-06
1.375,1.3830104e-06
1.38,1.4534905e-06
1.385,1.5267769e-06
1.39,1.602938e-06
1.395,1.6820421e-06
1.4,1.7641576e-06
1.405,1.8493524e-06
1.41,1.9376943e-06
1.415,2.0292509e-06
1.42,2.1240892e-06
1.425,2.222276e-06
1.43,2.3238776e-06
1.435,2.4289599e-06
1.44,2.5375879e-06
1.445,2.6498265e-06
1.45,2.7657396e-06
1.455,2.8853904e-06
1.46,3.0088416e-06
1.465,3.1361549e-06
1.47,3.2673911e-06
1.475,3.4026103e-06
1.48,3.5418714e-06
1.485,3.6852323e-06
1.49,3.8327501e-06
1.495,3.9844806e-06
1.5,4.1404784e-06

