drain TotalCurrent(IdVg_R1_n17_des) X,drain TotalCurrent(IdVg_R1_n17_des) Y
0,-7.326617e-17
0.005,-1.4796367e-16
0.01,-2.7759704e-17
0.015,2.9792892e-17
0.02,3.8775759e-17
0.025,1.9725804e-17
0.03,3.2680385e-17
0.035,-1.739106e-16
0.04,4.6477749e-17
0.045,1.8333306e-16
0.05,-1.4196792e-16
0.055,-1.3224231e-16
0.06,9.5043282e-17
0.065,-3.0598904e-17
0.07,-1.0496302e-16
0.075,-9.7018425e-17
0.08,8.7686686e-18
0.085,-2.3283681e-17
0.09,-2.0629462e-16
0.095,3.3369119e-17
0.1,8.3854822e-18
0.105,-6.1172603e-17
0.11,-2.6047596e-17
0.115,-1.6563584e-16
0.12,-2.6607596e-17
0.125,-1.4937297e-16
0.13,2.7230085e-16
0.135,-2.5741183e-17
0.14,-9.9509328e-17
0.145,8.0751617e-17
0.15,-3.8207548e-17
0.155,1.1924693e-16
0.16,1.6374268e-16
0.165,-8.3604457e-17
0.17,7.0438777e-17
0.175,6.0510599e-19
0.18,1.4566085e-16
0.185,1.1854118e-18
0.19,2.6225679e-16
0.195,8.2402974e-17
0.2,2.25355e-18
0.205,2.4645122e-16
0.21,3.4948045e-16
0.215,1.8303327e-16
0.22,2.9656123e-16
0.225,5.4479153e-16
0.23,3.8314629e-16
0.235,3.1514584e-16
0.24,6.1015357e-16
0.245,4.2883581e-16
0.25,5.2877704e-16
0.255,6.5387903e-16
0.26,5.8931235e-16
0.265,8.8039436e-16
0.27,1.0351101e-15
0.275,1.0828659e-15
0.28,8.3144287e-16
0.285,1.2731174e-15
0.29,1.4339471e-15
0.295,1.551771e-15
0.3,1.508204e-15
0.305,1.9505177e-15
0.31,1.9845937e-15
0.315,2.0750311e-15
0.32,2.3848489e-15
0.325,2.8440065e-15
0.33,2.9952587e-15
0.335,3.2790613e-15
0.34,3.7353301e-15
0.345,3.9321109e-15
0.35,4.2755607e-15
0.355,5.101741e-15
0.36,5.684309e-15
0.365,6.2021934e-15
0.37,6.8711572e-15
0.375,7.7225904e-15
0.38,8.3215815e-15
0.385,9.46536e-15
0.39,1.038819e-14
0.395,1.1615972e-14
0.4,1.2690053e-14
0.405,1.4053587e-14
0.41,1.5702814e-14
0.415,1.769421e-14
0.42,1.9265243e-14
0.425,2.1505895e-14
0.43,2.4113587e-14
0.435,2.6874882e-14
0.44,2.9854425e-14
0.445,3.304054e-14
0.45,3.6777132e-14
0.455,4.1166773e-14
0.46,4.5605362e-14
0.465,5.1009884e-14
0.47,5.6492567e-14
0.475,6.2860457e-14
0.48,7.0240985e-14
0.485,7.7999802e-14
0.49,8.6805756e-14
0.495,9.6545991e-14
0.5,1.0751819e-13
0.505,1.1975303e-13
0.51,1.335132e-13
0.515,1.4853248e-13
0.52,1.6529962e-13
0.525,1.8444724e-13
0.53,2.0485147e-13
0.535,2.2851521e-13
0.54,2.5434054e-13
0.545,2.8333387e-13
0.55,3.1575135e-13
0.555,3.5158601e-13
0.56,3.917206e-13
0.565,4.3659969e-13
0.57,4.8638691e-13
0.575,5.4207751e-13
0.58,6.0372095e-13
0.585,6.7272541e-13
0.59,7.4991836e-13
0.595,8.3545895e-13
0.6,9.3121862e-13
0.605,1.0380784e-12
0.61,1.1566554e-12
0.615,1.2891657e-12
0.62,1.4367308e-12
0.625,1.6011853e-12
0.63,1.7847222e-12
0.635,1.9894157e-12
0.64,2.2175434e-12
0.645,2.4713039e-12
0.65,2.7545441e-12
0.655,3.0705366e-12
0.66,3.4222629e-12
0.665,3.8144013e-12
0.67,4.251277e-12
0.675,4.7382898e-12
0.68,5.2807265e-12
0.685,5.8852204e-12
0.69,6.5587849e-12
0.695,7.30886e-12
0.7,8.1443339e-12
0.705,9.0749234e-12
0.71,1.0111079e-11
0.715,1.126449e-11
0.72,1.2548983e-11
0.725,1.3978414e-11
0.73,1.5568936e-11
0.735,1.7338764e-11
0.74,1.9308081e-11
0.745,2.1497759e-11
0.75,2.3932937e-11
0.755,2.6639574e-11
0.76,2.9648746e-11
0.765,3.2992148e-11
0.77,3.6706071e-11
0.775,4.0830835e-11
0.78,4.5410458e-11
0.785,5.0492972e-11
0.79,5.6132391e-11
0.795,6.2387257e-11
0.8,6.9322911e-11
0.805,7.7009737e-11
0.81,8.5527048e-11
0.815,9.4959719e-11
0.82,1.0540302e-10
0.825,1.1695968e-10
0.83,1.2974302e-10
0.835,1.4387727e-10
0.84,1.5949807e-10
0.845,1.7675365e-10
0.85,1.958062e-10
0.855,2.1683261e-10
0.86,2.4002545e-10
0.865,2.6559541e-10
0.87,2.9377146e-10
0.875,3.2480314e-10
0.88,3.5896069e-10
0.885,3.9653968e-10
0.89,4.3785885e-10
0.895,4.8326594e-10
0.9,5.3313658e-10
0.905,5.8787845e-10
0.91,6.4793236e-10
0.915,7.137749e-10
0.92,7.8592131e-10
0.925,8.6492814e-10
0.93,9.5139569e-10
0.935,1.0459709e-09
0.94,1.1493506e-09
0.945,1.2622852e-09
0.95,1.3855811e-09
0.955,1.5201055e-09
0.96,1.6667883e-09
0.965,1.826628e-09
0.97,2.0006946e-09
0.975,2.1901333e-09
0.98,2.3961698e-09
0.985,2.6201139e-09
0.99,2.863365e-09
0.995,3.1274152e-09
1,3.4138556e-09
1.005,3.724379e-09
1.01,4.0607873e-09
1.015,4.4249943e-09
1.02,4.8190309e-09
1.025,5.24505e-09
1.03,5.7053303e-09
1.035,6.2022812e-09
1.04,6.7384462e-09
1.045,7.316507e-09
1.05,7.9392855e-09
1.055,8.6097486e-09
1.06,9.3310072e-09
1.065,1.0106319e-08
1.07,1.0939088e-08
1.075,1.1832865e-08
1.08,1.2791343e-08
1.085,1.3818355e-08
1.09,1.4917873e-08
1.095,1.6093993e-08
1.1,1.7350936e-08
1.105,1.8693035e-08
1.11,2.0124723e-08
1.115,2.1650522e-08
1.12,2.3275028e-08
1.125,2.5002895e-08
1.13,2.683882e-08
1.135,2.8787523e-08
1.14,3.0853728e-08
1.145,3.3042151e-08
1.15,3.535747e-08
1.155,3.7804317e-08
1.16,4.0387258e-08
1.165,4.3110774e-08
1.17,4.597925e-08
1.175,4.8996964e-08
1.18,5.2168074e-08
1.185,5.5496615e-08
1.19,5.8986489e-08
1.195,6.2641466e-08
1.2,6.6465186e-08
1.205,7.0461152e-08
1.21,7.4632745e-08
1.215,7.8983223e-08
1.22,8.3515725e-08
1.225,8.8233284e-08
1.23,9.3138832e-08
1.235,9.8235206e-08
1.24,1.0352516e-07
1.245,1.0901137e-07
1.25,1.1469643e-07
1.255,1.2058289e-07
1.26,1.2667322e-07
1.265,1.3296985e-07
1.27,1.3947517e-07
1.275,1.4619149e-07
1.28,1.5312112e-07
1.285,1.602663e-07
1.29,1.6762924e-07
1.295,1.7521212e-07
1.3,1.8301709e-07
1.305,1.9104625e-07
1.31,1.9930168e-07
1.315,2.0778541e-07
1.32,2.1649947e-07
1.325,2.2544582e-07
1.33,2.3462641e-07
1.335,2.4404314e-07
1.34,2.536979e-07
1.345,2.6359251e-07
1.35,2.737288e-07
1.355,2.8410852e-07
