frequency,v(s),v(d),v(g),v(b),"a(s,s)","c(s,s)","a(s,d)","c(s,d)","a(s,g)","c(s,g)","a(s,b)","c(s,b)","a(d,s)","c(d,s)","a(d,d)","c(d,d)","a(d,g)","c(d,g)","a(d,b)","c(d,b)","a(g,s)","c(g,s)","a(g,d)","c(g,d)","a(g,g)","c(g,g)","a(g,b)","c(g,b)","a(b,s)","c(b,s)","a(b,d)","c(b,d)","a(b,g)","c(b,g)","a(b,b)","c(b,b)"
1000000.0,0.0,1.2,-0.71,0.0,-1.51920465508412e-13,2.76392225468227e-16,2.35597336270715e-16,-1.89567998084957e-17,4.45004409718944e-15,-1.25886688267074e-16,-5.77727350956196e-15,-1.31548737392692e-16,2.30132769910383e-16,-1.89567998084856e-17,1.51920465508412e-12,2.603655266831e-16,1.91201473529644e-15,-1.67018315893419e-16,-2.38733595339285e-15,-7.43904109812123e-17,4.43262178520396e-15,-1.25886688267083e-16,1.90890984828605e-15,-1.67018315893428e-16,0.0,9.28081153858384e-16,-3.19910516400856e-14,-6.35176149698008e-16,-5.78672446000698e-15,-1.31548737392688e-16,-2.39211967213167e-15,-7.43904109811902e-17,-3.20003410660922e-14,-6.35176149698006e-16,-3.03840931016824e-13,8.41115298072015e-16
1000000.0,0.0,1.2,-0.7,0.0,-1.51920465508412e-13,2.75977652813863e-16,2.21978871062874e-16,-1.89706135895946e-17,4.31257994473119e-15,-1.2688735245661e-16,-5.64229862475693e-15,-1.3011968676769e-16,2.25738397725008e-16,-1.89706135895842e-17,4.55761396525235e-13,2.60186293302274e-16,1.85554172623705e-15,-1.67847784107596e-16,-2.29322465359207e-15,-7.33678956051105e-17,4.32202729673779e-15,-1.26887352456611e-16,1.83553660406273e-15,-1.67847784107607e-16,0.0,9.21144103014892e-16,-3.11255976331093e-14,-6.26408966450813e-16,-5.64474947221215e-15,-1.30119686767695e-16,-2.29810038553252e-15,-7.33678956050892e-17,-3.11344869950546e-14,-6.26408966450814e-16,1.51920465508412e-13,8.29896548823744e-16
1000000.0,0.0,1.2,-0.69,0.0,4.55761396525235e-13,2.755677908821e-16,2.17851332974672e-16,-1.89847066712629e-17,4.21975691810873e-15,-1.2789593898692e-16,-5.49768541014154e-15,-1.28687145223928e-16,2.0939401003925e-16,-1.89847066712522e-17,-1.51920465508412e-13,2.60007032569161e-16,1.7614200444714e-15,-1.68687369464299e-16,-2.20290695752937e-15,-7.23349564336218e-17,4.21131917088971e-15,-1.27895938986927e-16,1.76178463248075e-15,-1.68687369464312e-16,0.0,9.14039659621813e-16,-3.02501972036991e-14,-6.17456351170582e-16,-5.49671509062069e-15,-1.28687145223938e-16,-2.20801944460713e-15,-7.23349564336009e-17,-3.02154419270259e-14,-6.17456351170638e-16,-1.06344325855888e-12,8.18478452828152e-16
