frequency,v(s),v(d),v(g),v(b),"a(s,s)","c(s,s)","a(s,d)","c(s,d)","a(s,g)","c(s,g)","a(s,b)","c(s,b)","a(d,s)","c(d,s)","a(d,d)","c(d,d)","a(d,g)","c(d,g)","a(d,b)","c(d,b)","a(g,s)","c(g,s)","a(g,d)","c(g,d)","a(g,g)","c(g,g)","a(g,b)","c(g,b)","a(b,s)","c(b,s)","a(b,d)","c(b,d)","a(b,g)","c(b,g)","a(b,b)","c(b,b)"
1000000.0,0.0,1.2,-0.71,0.0,6.07681862033647e-13,2.68673160841226e-16,2.31691848445181e-16,-2.50835762072235e-17,4.35961396224894e-15,-1.12819354741598e-16,-5.66042063784866e-15,-1.30770229892376e-16,2.25646848411593e-16,-2.5083576207213e-17,0.0,2.50954809727335e-16,1.89571921079337e-15,-1.5148046273623e-16,-2.37044877031036e-15,-7.43907707838831e-17,4.35547900287649e-15,-1.12819354741605e-16,1.89652278587065e-15,-1.51480462736242e-16,0.0,8.94852212884647e-16,-3.15086752698718e-14,-6.30552395406593e-16,-5.65745366581764e-15,-1.30770229892387e-16,-2.37301058125697e-15,-7.43907707838646e-17,-3.14652422045465e-14,-6.30552395406666e-16,-1.51920465508412e-13,8.35713396082661e-16
1000000.0,0.0,1.2,-0.7,0.0,-3.03840931016824e-13,2.68295401954619e-16,2.2284959099815e-16,-2.51119013898997e-17,4.25700107496202e-15,-1.13796980151558e-16,-5.50502459967749e-15,-1.29386520413171e-16,2.23755624436336e-16,-2.51119013898894e-17,-9.11522793050471e-13,2.5078017205301e-16,1.84127049689183e-15,-1.52300915115616e-16,-2.27521302215795e-15,-7.33673555475138e-17,4.24888551397974e-15,-1.13796980151572e-16,1.82364915540076e-15,-1.52300915115629e-16,0.0,8.88000732287111e-16,-3.06621027924201e-14,-6.21902837019963e-16,-5.52042290807794e-15,-1.29386520413164e-16,-2.28419961298166e-15,-7.33673555474888e-17,-3.06701696657565e-14,-6.21902837019967e-16,4.55761396525235e-13,8.24656712980679e-16
1000000.0,0.0,1.2,-0.69,0.0,1.06344325855888e-12,2.67921200676472e-16,2.15946766570399e-16,-2.51404370895272e-17,4.16358686130527e-15,-1.1478365042402e-16,-5.38565577245155e-15,-1.27997113162944e-16,2.10418779766348e-16,-2.51404370895164e-17,7.59602327542059e-13,2.5060545410634e-16,1.7746973061043e-15,-1.53131599329631e-16,-2.18514051975115e-15,-7.23334176872062e-17,4.14199284741289e-15,-1.14783650424023e-16,1.7503738266898e-15,-1.53131599329643e-16,0.0,8.80980191045482e-16,-2.98049877791558e-14,-6.13064941291893e-16,-5.38518142103999e-15,-1.27997113162951e-16,-2.19270271958365e-15,-7.23334176871827e-17,-2.98100171426698e-14,-6.130649412919e-16,9.11522793050471e-13,8.1339547214213e-16
