frequency,v(s),v(d),v(g),v(b),"a(s,s)","c(s,s)","a(s,d)","c(s,d)","a(s,g)","c(s,g)","a(s,b)","c(s,b)","a(d,s)","c(d,s)","a(d,d)","c(d,d)","a(d,g)","c(d,g)","a(d,b)","c(d,b)","a(g,s)","c(g,s)","a(g,d)","c(g,d)","a(g,g)","c(g,g)","a(g,b)","c(g,b)","a(b,s)","c(b,s)","a(b,d)","c(b,d)","a(b,g)","c(b,g)","a(b,b)","c(b,b)"
1000000.0,0.0,1.2,-0.01,0.0,3.03840931016824e-13,2.64024096095475e-16,5.14169539063277e-19,-2.11984320138786e-17,-2.85505533265755e-17,-1.89061862094495e-16,-5.8798565179568e-16,-5.37638019871131e-17,-3.85455251108929e-16,-2.11984320134743e-17,1.21536372406729e-12,2.56301186074315e-16,2.37140891865042e-16,-1.94654234021356e-16,1.17321307253441e-16,-4.04485200394968e-17,1.53219311817805e-16,-1.89061862094689e-16,3.5548509665509e-17,-1.94654234021183e-16,0.0,5.33200791284103e-16,-6.04647112218111e-16,-1.49484695168237e-16,-3.87178295224654e-16,-5.37638019873221e-17,-8.03271654787465e-17,-4.04485200392657e-17,-6.12395892544042e-16,-1.49484695168259e-16,1.06344325855888e-12,2.43697017194841e-16
1000000.0,0.0,1.2,0.0,0.0,-6.07681862033647e-13,2.64118543440744e-16,5.41052658485809e-19,-2.12476688403333e-17,-6.55445985981757e-17,-1.89442983497546e-16,-6.12985228932353e-16,-5.34278911028719e-17,-4.58953868476249e-16,-2.12476688398558e-17,6.07681862033647e-13,2.56303812461689e-16,2.80709150914237e-16,-1.94743902724259e-16,1.57080272731518e-16,-4.0312240897583e-17,1.4858531990564e-16,-1.89442983497782e-16,3.3951249860132e-17,-1.9474390272405e-16,0.0,5.32467180112865e-16,-5.82377748675625e-16,-1.48280293891054e-16,-3.80705991202134e-16,-5.34278911031137e-17,-7.78211241053939e-17,-4.03122408973149e-17,-5.89420853707456e-16,-1.48280293891079e-16,1.06344325855888e-12,2.42020425891494e-16
1000000.0,0.0,1.2,0.01,0.0,-3.03840931016824e-13,2.64219066430195e-16,-1.23582828392847e-18,-2.12970627204916e-17,-1.12744856691942e-16,-1.898221091466e-16,-6.4490734245296e-16,-5.30998945631121e-17,-5.42834223402469e-16,-2.1297062719926e-17,1.36728418957571e-12,2.56307052816065e-16,3.37321007441712e-16,-1.94830852912651e-16,1.97069221711281e-16,-4.01791371834944e-17,1.44167637060812e-16,-1.89822109146885e-16,3.24325056366908e-17,-1.94830852912397e-16,0.0,5.31781432845458e-16,-5.61462313654466e-16,-1.47128470786191e-16,-3.74790061830094e-16,-5.30998945633926e-17,-7.56328057901225e-17,-4.01791371831824e-17,-5.68527159627433e-16,-1.47128470786221e-16,6.07681862033647e-13,2.40407502532791e-16
