drain TotalCurrent(IdVg_R1_n20_des) X,drain TotalCurrent(IdVg_R1_n20_des) Y
1.22,3.0737712e-07
1.225,3.2812443e-07
1.23,3.5008469e-07
1.235,3.7331385e-07
1.24,3.9786933e-07
1.245,4.2380994e-07
1.25,4.5119585e-07
1.255,4.8008852e-07
1.26,5.1055065e-07
1.265,5.4264612e-07
1.27,5.7643992e-07
1.275,6.119981e-07
1.28,6.4938765e-07
1.285,6.8867649e-07
1.29,7.2993336e-07
1.295,7.7322774e-07
1.3,8.1862978e-07
1.305,8.6621028e-07
1.31,9.1604051e-07
1.315,9.6819223e-07
1.32,1.0227376e-06
1.325,1.079749e-06
1.33,1.1392993e-06
1.335,1.2014612e-06
1.34,1.2663078e-06
1.345,1.3339122e-06
1.35,1.4043474e-06
1.355,1.4776863e-06
1.36,1.5540021e-06
1.365,1.6333671e-06
1.37,1.7158542e-06
1.375,1.8015355e-06
1.38,1.8904829e-06
1.385,1.9827679e-06
1.39,2.0784618e-06
1.395,2.1776352e-06
1.4,2.2803582e-06
1.405,2.3867005e-06
1.41,2.496731e-06
1.415,2.610518e-06
1.42,2.7281291e-06
1.425,2.8496311e-06
1.43,2.9750901e-06
1.435,3.1045712e-06
1.44,3.2381388e-06
1.445,3.375856e-06
1.45,3.5177852e-06
1.455,3.6639875e-06
1.46,3.8145232e-06
1.465,3.9694511e-06
1.47,4.1288289e-06
1.475,4.2927132e-06
1.48,4.461159e-06
1.485,4.6342199e-06
1.49,4.8119486e-06
1.495,4.9943962e-06
1.5,5.1816122e-06

