drain TotalCurrent(IdVg_R1_n40_des) X,drain TotalCurrent(IdVg_R1_n40_des) Y
0,8.7210014e-18
0.005,-1.550727e-16
0.01,-4.1736963e-17
0.015,-1.2021044e-16
0.02,-2.6339114e-17
0.025,3.4985725e-17
0.03,-1.6478428e-16
0.035,-4.727106e-17
0.04,1.8007609e-16
0.045,5.2193427e-17
0.05,4.2035329e-17
0.055,-1.3390021e-16
0.06,8.1926075e-17
0.065,8.5437389e-17
0.07,6.7933649e-18
0.075,7.5611197e-17
0.08,1.0884382e-17
0.085,-5.5691339e-17
0.09,-3.8225383e-17
0.095,1.1385013e-16
0.1,1.0551656e-16
0.105,5.7938646e-17
0.11,8.1619614e-17
0.115,-2.8087904e-17
0.12,1.6065055e-16
0.125,-1.2658592e-16
0.13,1.6794106e-16
0.135,2.890672e-17
0.14,1.1603141e-16
0.145,1.0763592e-16
0.15,-6.343954e-17
0.155,9.4640812e-17
0.16,1.1513443e-16
0.165,1.7243718e-17
0.17,1.9821694e-16
0.175,1.9616802e-16
0.18,1.4007772e-16
0.185,3.0792367e-16
0.19,2.8844899e-16
0.195,3.0990864e-16
0.2,3.3559617e-16
0.205,2.603416e-16
0.21,1.8169128e-16
0.215,1.3190475e-16
0.22,1.9587756e-16
0.225,4.9148261e-16
0.23,2.9637738e-16
0.235,2.889088e-16
0.24,5.4922943e-16
0.245,6.0520112e-16
0.25,6.4761061e-16
0.255,6.6118923e-16
0.26,7.6195675e-16
0.265,8.3216634e-16
0.27,9.443265e-16
0.275,8.7307534e-16
0.28,9.9131794e-16
0.285,1.288988e-15
0.29,1.2499359e-15
0.295,1.3348827e-15
0.3,1.5369379e-15
0.305,1.6903854e-15
0.31,1.9533158e-15
0.315,2.0225364e-15
0.32,2.4289181e-15
0.325,2.6150291e-15
0.33,2.9909353e-15
0.335,3.3063952e-15
0.34,3.6964748e-15
0.345,3.9176738e-15
0.35,4.653402e-15
0.355,4.9659606e-15
0.36,5.5625158e-15
0.365,6.0703437e-15
0.37,6.7285684e-15
0.375,7.4478695e-15
0.38,8.4478392e-15
0.385,9.2350506e-15
0.39,1.023979e-14
0.395,1.1151055e-14
0.4,1.2826373e-14
0.405,1.4046355e-14
0.41,1.5939709e-14
0.415,1.7587128e-14
0.42,1.9501135e-14
0.425,2.1554304e-14
0.43,2.4122832e-14
0.435,2.6893168e-14
0.44,2.9863847e-14
0.445,3.3020471e-14
0.45,3.6917557e-14
0.455,4.0935491e-14
0.46,4.5709388e-14
0.465,5.0655001e-14
0.47,5.6588104e-14
0.475,6.2878051e-14
0.48,6.9999606e-14
0.485,7.7884658e-14
0.49,8.6695146e-14
0.495,9.6663139e-14
0.5,1.0748496e-13
0.505,1.1959918e-13
0.51,1.3305116e-13
0.515,1.4835844e-13
0.52,1.6515075e-13
0.525,1.8366544e-13
0.53,2.0461785e-13
0.535,2.280659e-13
0.54,2.5401913e-13
0.545,2.8289025e-13
0.55,3.1518641e-13
0.555,3.5116665e-13
0.56,3.9113852e-13
0.565,4.3595498e-13
0.57,4.8558646e-13
0.575,5.409833e-13
0.58,6.0271536e-13
0.585,6.7193568e-13
0.59,7.4864418e-13
0.595,8.3426836e-13
0.6,9.2977278e-13
0.605,1.0360857e-12
0.61,1.1547561e-12
0.615,1.2870029e-12
0.62,1.4343923e-12
0.625,1.5985772e-12
0.63,1.7818353e-12
0.635,1.9862992e-12
0.64,2.2138696e-12
0.645,2.4674184e-12
0.65,2.7501096e-12
0.655,3.0651216e-12
0.66,3.4167415e-12
0.665,3.8082647e-12
0.67,4.2444959e-12
0.675,4.7307384e-12
0.68,5.2724405e-12
0.685,5.8760857e-12
0.69,6.5483669e-12
0.695,7.2975506e-12
0.7,8.1316906e-12
0.705,9.0607191e-12
0.71,1.0095616e-11
0.715,1.1247432e-11
0.72,1.2529751e-11
0.725,1.395704e-11
0.73,1.554565e-11
0.735,1.7313005e-11
0.74,1.927908e-11
0.745,2.1465764e-11
0.75,2.3897856e-11
0.755,2.6601384e-11
0.76,2.9606134e-11
0.765,3.2945096e-11
0.77,3.6654405e-11
0.775,4.0773609e-11
0.78,4.5347237e-11
0.785,5.0423487e-11
0.79,5.6055682e-11
0.795,6.2303261e-11
0.8,6.9230199e-11
0.805,7.6908061e-11
0.81,8.5414936e-11
0.815,9.4836794e-11
