drain TotalCurrent(IdVg_R1_n35_des) X,drain TotalCurrent(IdVg_R1_n35_des) Y
1.215,2.1421971e-07
1.22,2.2886469e-07
1.225,2.4439241e-07
1.23,2.6084663e-07
1.235,2.7827252e-07
1.24,2.9671668e-07
1.245,3.1622712e-07
1.25,3.3685318e-07
1.255,3.5864562e-07
1.26,3.8165646e-07
1.265,4.0593907e-07
1.27,4.3154803e-07
1.275,4.5853915e-07
1.28,4.8696941e-07
1.285,5.1689692e-07
1.29,5.4838083e-07
1.295,5.8148132e-07
1.3,6.1625955e-07
1.305,6.5277756e-07
1.31,6.9109823e-07
1.315,7.3128524e-07
1.32,7.7340298e-07
1.325,8.1751653e-07
1.33,8.6369153e-07
1.335,9.1199421e-07
1.34,9.6249126e-07
1.345,1.0152498e-06
1.35,1.0703374e-06
1.355,1.1278217e-06
1.36,1.1877709e-06
1.365,1.2502533e-06
1.37,1.3153373e-06
1.375,1.3830914e-06
1.38,1.4535842e-06
1.385,1.5268844e-06
1.39,1.6030603e-06
1.395,1.6821805e-06
1.4,1.7643134e-06
1.405,1.8495268e-06
1.41,1.9378888e-06
1.415,2.0294668e-06
1.42,2.1243281e-06
1.425,2.2225395e-06
1.43,2.3241673e-06
1.435,2.4292774e-06
1.44,2.5379352e-06
1.445,2.6502052e-06
1.45,2.7661516e-06
1.455,2.8858378e-06
1.46,3.0093263e-06
1.465,3.136679e-06
1.47,3.2679568e-06
1.475,3.4032196e-06
1.48,3.5425267e-06
1.485,3.6859359e-06
1.49,3.8335043e-06
1.495,3.9852878e-06
1.5,4.141341e-06

