drain TotalCurrent(IdVg_R1_n43_des) X,drain TotalCurrent(IdVg_R1_n43_des) Y
1.215,2.1403949e-07
1.22,2.2867311e-07
1.225,2.4418883e-07
1.23,2.606304e-07
1.235,2.7804295e-07
1.24,2.9647306e-07
1.245,3.1596869e-07
1.25,3.3657917e-07
1.255,3.5835521e-07
1.26,3.8134881e-07
1.265,4.0561328e-07
1.27,4.3120318e-07
1.275,4.5817429e-07
1.28,4.8658355e-07
1.285,5.1648901e-07
1.29,5.479498e-07
1.295,5.8102607e-07
1.3,6.1577892e-07
1.305,6.5227035e-07
1.31,6.9056321e-07
1.315,7.3072113e-07
1.32,7.7280848e-07
1.325,8.1689026e-07
1.33,8.630321e-07
1.335,9.1130019e-07
1.34,9.6176117e-07
1.345,1.0144821e-06
1.35,1.0695305e-06
1.355,1.1269741e-06
1.36,1.186881e-06
1.365,1.2493193e-06
1.37,1.3143576e-06
1.375,1.3820642e-06
1.38,1.4525078e-06
1.385,1.5257568e-06
1.39,1.6018799e-06
1.395,1.6809454e-06
1.4,1.7630216e-06
1.405,1.8481765e-06
1.41,1.936478e-06
1.415,2.0279936e-06
1.42,2.1227905e-06
1.425,2.2209355e-06
1.43,2.3224949e-06
1.435,2.4275346e-06
1.44,2.5361199e-06
1.445,2.6483154e-06
1.45,2.7641852e-06
1.455,2.8837928e-06
1.46,3.0072006e-06
1.465,3.1344706e-06
1.47,3.2656635e-06
1.475,3.4008395e-06
1.48,3.5400576e-06
1.485,3.6833757e-06
1.49,3.8308511e-06
1.495,3.9825395e-06
1.5,4.1384956e-06

