X_um,AbsElectricField_V_per_cm
0.0,272025.06
0.00037499887,271869.52
0.0015625,271643.36
0.0019374989,272214.62
0.003125,274195.07
0.0034999989,275155.87
0.0046875002,278401.86
0.0050624991,279763.14
0.0062500001,284305.9
0.006624999,286080.93
0.0078125,291961.77
0.0081874989,294166.3
0.0093750004,301437.34
0.0097499993,304090.16
0.0109375,312815.72
0.011312499,315939.26
0.0125,326197.51
0.012874999,329818.32
0.0140625,341703.2
0.014437499,345852.38
0.015625,359475.94
0.015999999,364189.57
0.0171875,379684.77
0.017562499,385004.25
0.018750001,402528.62
0.019125,408500.74
0.020312499,428240.65
0.020687498,434917.21
0.021875,457092.37
0.022249999,464528.36
0.0234375,489394.77
0.023812499,497643.48
0.025,525488.59
0.025374999,534589.68
0.026562501,565695.0
0.0269375,575647.61
0.028124999,610095.31
0.028499998,621257.26
0.0296875,656251.08
0.030437501,674178.53
0.03125,701223.65
0.031624999,718895.03
0.032031249,733986.01
0.032406248,746198.53
0.032812499,760824.08
0.033187501,772550.0
0.033593751,786619.62
0.03396875,797416.77
0.034375001,810278.08
0.03475,819695.32
0.03515625,830637.62
0.035531249,838291.02
0.035937499,846685.34
0.036312498,852369.7
0.036718749,857927.25
0.037093751,861676.29
0.037500001,864588.2
0.037875,866613.97
0.038281251,867338.37
0.03865625,867936.6
0.0390625,867002.46
0.039437499,866472.91
0.039843749,864348.89
0.040218748,862951.17
0.040624999,860002.03
0.041000001,857939.23
0.041406251,854423.41
0.04178125,851843.36
0.042187501,847932.8
0.0425625,844936.75
0.04296875,840738.43
0.043343749,837392.07
0.043749999,832968.3
0.044124998,829312.1
0.044531249,824695.61
0.044906251,820753.52
0.045312501,815959.03
0.0456875,811745.33
0.046093751,806777.44
0.04646875,802301.93
0.046875,797160.72
0.047249999,792432.41
0.047656249,787117.09
0.048031248,782146.65
0.048437499,776657.99
0.048812501,771459.11
0.049218751,765800.79
0.04959375,760390.76
0.050000001,754570.03
0.050375,748969.55
0.05078125,742997.32
0.051156249,737230.0
0.051562499,731120.51
0.051937498,725211.99
0.052343749,718982.28
0.052718751,712959.29
0.053125001,706628.47
0.0535,700517.96
0.053906251,694106.48
0.05428125,687934.79
0.0546875,681463.74
0.055062499,675255.95
0.055468749,668746.38
0.055843748,662525.88
0.056249999,655998.26
0.056625001,649786.41
0.057031251,643260.22
0.05740625,637076.22
0.057812501,630569.63
0.0581875,624430.42
0.05859375,617960.07
0.058968749,611880.47
0.059374999,605461.41
0.059749998,599454.19
0.060156249,593099.85
0.060531251,587175.96
0.060937501,580898.31
0.0613125,575067.06
0.061718751,568876.8
0.06209375,563146.04
0.0625,557052.8
0.062875003,551428.96
0.063281253,545441.22
0.063656248,539929.12
0.064062499,534053.72
0.064437501,528656.21
0.064843751,522897.04
0.065218747,517615.1
0.065624997,511972.92
0.066,506806.44
0.06640625,501280.71
0.066781253,496229.2
0.067187503,490819.48
0.067562498,485882.68
0.067968749,480589.37
0.068343751,475767.73
0.068750001,470591.28
0.069124997,465888.46
0.069531247,460821.37
0.06990625,454082.52
0.0703125,448853.97
0.071125001,439748.61
0.071874999,433083.47
0.072249994,428757.58
0.073437497,413902.83
0.0738125,409911.15
0.075000003,397438.79
0.075374998,393639.05
0.076562501,381843.75
0.076937497,378228.61
0.078125,367035.24
0.078499995,363590.09
0.079687499,352952.11
0.080062494,349660.39
0.081249997,339532.53
0.081625,336376.4
0.082812503,326711.5
0.083187498,323672.51
0.084375001,314423.4
0.084749997,311483.63
0.0859375,302607.58
0.086312495,299751.56
0.087499999,291216.38
0.087874994,288433.35
0.089062497,280223.77
0.0894375,277509.81
0.090625003,269631.52
0.090999998,266990.69
0.092187501,259470.01
0.092562497,256913.95
0.09375,249792.33
0.094124995,247338.24
0.095312499,240663.02
0.095687494,238330.61
0.096874997,232145.32
0.09725,229953.56
0.098437503,224290.7
0.098812498,222255.24
0.1,217132.7
0.100375,215264.18
0.1015625,210684.82
0.1019375,208987.65
0.103125,204939.4
0.10349999,203410.17
0.1046875,199862.54
0.1050625,198486.28
0.10625,195376.62
0.106625,194118.61
0.1078125,191316.39
0.1081875,190106.26
0.109375,187337.47
0.10975,186043.46
0.1109375,182757.25
0.11131249,181154.73
0.1125,176348.5
0.112875,174109.31
0.1140625,166239.77
0.1144375,163022.07
0.115625,150362.39
0.116,146122.1
0.1171875,128544.8
0.1175625,123762.7
0.11875,102578.77
0.11912499,98674.544
0.1203125,81596.483
0.1206875,79025.622
0.121875,73478.425
0.12225,71317.757
0.1234375,64515.961
0.1238125,62522.568
0.125,55035.62
0.125375,53299.829
0.12656251,47021.393
0.12693751,45539.885
0.128125,40356.416
0.1285,39101.049
0.1296875,34823.457
0.13006251,33760.588
0.13124999,30213.665
0.131625,29311.621
0.1328125,26351.516
0.1331875,25582.875
0.13437501,23095.623
0.13475001,22437.445
0.1359375,20333.449
0.1363125,19766.759
0.1375,17975.41
0.13787501,17484.319
0.13906249,15950.035
0.1394375,15393.501
0.140625,14119.76
0.14300001,11353.702
0.14375,10746.641
0.1445,10250.05
0.15000001,7976.6798
0.15350001,6261.5085
0.15625,5347.7956
0.15975,4269.1737
0.16249999,3701.6164
0.16600001,2944.6846
0.16875,2563.1234
0.17225,2032.4479
0.175,1767.5413
0.17850001,1401.1493
0.18125001,1216.2689
0.18475001,972.84293
0.1875,847.23736
0.191,703.9267
0.19374999,627.96292
0.19725001,554.60096
0.2,513.50513
