Branch,MEB_Depth_um,Mesh_Code,VD_Target1,VG_Min1,VD_AC,VG_START,VG_END,AC_Freq_Hz,Temperature_K,Formal_Metric
GIDL,0.043,3,1.2,-0.7,,,,,300,|Idrain| @ VG=-0.7
GIDL,0.045,3,1.2,-0.7,,,,,300,|Idrain| @ VG=-0.7
GIDL,0.047,3,1.2,-0.7,,,,,300,|Idrain| @ VG=-0.7
GIDL,0.048,3,1.2,-0.7,,,,,300,|Idrain| @ VG=-0.7
GIDL,0.049,3,1.2,-0.7,,,,,300,|Idrain| @ VG=-0.7
GIDL,0.051,3,1.2,-0.7,,,,,300,|Idrain| @ VG=-0.7
Cgd,0.043,1,,,1.2,-0.71,-0.69,1000000,300,|c(g,d)| @ VG=-0.70
Cgd,0.045,1,,,1.2,-0.71,-0.69,1000000,300,|c(g,d)| @ VG=-0.70
Cgd,0.047,1,,,1.2,-0.71,-0.69,1000000,300,|c(g,d)| @ VG=-0.70
Cgd,0.048,1,,,1.2,-0.71,-0.69,1000000,300,|c(g,d)| @ VG=-0.70
Cgd,0.049,1,,,1.2,-0.71,-0.69,1000000,300,|c(g,d)| @ VG=-0.70
Cgd,0.051,1,,,1.2,-0.71,-0.69,1000000,300,|c(g,d)| @ VG=-0.70
